K	9_6	9_7	9_8	9_9	9_10	9_11	9_12	9_13	9_14	9_15	9_17	9_18	9_19
9_8*	4-5	3-4	2	4-5	2-3	2	2	2-3	2	1	2	3-4	2
9_9	2	1	2-3	0	5-6	5	2-3	5-6	3-4	4-5	2-4	2	3-4
9_9*	6	5	4-5	6	2	2	4	1	3	2-3	4	5	3-4
9_10	5-6	4-5	3-5	5-6	0	2	3-4	2	2-3	2-3	3-4	4-5	2-4
9_10*	2-3	2-3	2-3	2	4-6	4-5	2-3	4-6	2-4	3-5	2-4	2	2-4
9_11	5	4	3	5	2	0	3	2	2	1	3	4	2-3
9_11*	2	2-3	2	2	4-5	4	2	4-5	2-3	3	2-3	2	2-3
9_12	2-3	2	1	2-3	3-4	3	0	3-4	2	2-3	2-3	2	2
9_12*	4	3	2	4	2-3	2	2	2-3	2	2	2-3	3	2
9_13	5-6	4-5	3-5	5-6	2	2	3-4	0	2-3	2-3	3-4	4-5	2-4
9_13*	2	2	2-3	1	4-6	4-5	2-3	4-6	2-4	3-5	2-4	2	2-4
9_14	3-4	2-3	2	3-4	2-3	2	2	2-3	0	2	2	2-3	1
9_14*	3	2	2	3	2-4	2-3	2	2-4	2	2-3	2-3	2	2
9_15	4-5	3-4	2	4-5	2-3	1	2-3	2-3	2	0	2	3-4	2
9_15*	2-3	2	1	2-3	3-5	3	2	3-5	2-3	2	2	2	2
9_17	2-4	2-3	2	2-4	3-4	3	2-3	3-4	2	2	0	2-4	1
9_17*	4	3	2	4	2-4	2-3	2-3	2-4	2-3	2	2	3-4	2
9_18	1	2	2-3	2	4-5	4	2	4-5	2-3	3-4	2-4	0	2-3
9_18*	5	4	3-4	5	2	2	3	2	2	2	3-4	4	2-3
9_19	3-4	2-3	2	3-4	2-4	2-3	2	2-4	1	2	1	2-3	0
9_19*	3-4	2-3	2	3-4	2-4	2-3	2	2-4	2	2	2	2-3	2
9_20	2	1	2	2	4-5	4	1	4-5	2-3	3	2	2	2-3
9_20*	5	4	3	5	2-3	2	3	2	2	2	3	4	2-3
9_21	4	3	2-3	4	2	1	2	2	2	2	2-3	3	2
9_21*	2-3	2	2	2-3	3-4	3	2	3-4	2	2-3	2-3	2	2
9_23	1	2	2-3	2	4-5	4	2-3	4-5	2-3	3-4	2-4	2	2-3
9_23*	5	4	3-4	5	2-3	2	3	2	2	2	3-4	4	2-3
9_26	4	3	2-3	4	2-3	2	2	2	1	2	2	3	2
9_26*	2	2	2	2-3	3-4	3	2	3-4	2	2-3	2	2	2
9_27	3	2	1	3	2-4	2-3	2	2-4	2	2	2	2-3	2
9_27*	3-4	2-3	2	3-4	2-3	2	2	2-3	2	2	2	2-3	2
9_31	2	2	2	2-3	3-4	3-4	2-3	3-4	2-3	2-4	2-3	2	2-3
9_31*	4	3	2-3	4	2-3	2	2-3	2	2	2	2-3	3-4	2-3
3_1 # 6_1	2-3	2	2	2-3	3-5	3-4	2	3-5	2-3	2-3	2-3	2-3	2
3_1* # 6_1*	4-5	3-4	2	4-5	1-3	1-3	2-3	2-3	2	2-3	2-3	3-4	2-3
3_1 # 6_1*	2-3	2	2	2-3	3-5	3-4	2-3	3-5	2	2-3	2-3	2-3	2-3
3_1* # 6_1	4-5	3-4	2-3	4-5	1-3	1-3	2	2-3	2	2-3	2-3	3-4	2
3_1 # 6_2	2-3	2	2	2-3	4-5	4	2-3	4-5	2-3	3	1-2	2-3	2-3
3_1* # 6_2*	5	4	3	5	1-3	1-3	3	2-3	2	1-3	3	4	2-3
3_1 # 6_2*	3	2	1-2	3	2-4	2-4	2-3	2-4	1-3	1-3	1-3	2-3	1-3
3_1* # 6_2	3-4	2-3	1-3	3-4	2-3	2-3	2-3	2-3	1-2	1-3	1-2	2-4	1-3
3_1 # 6_3	2-3	1-2	2	2-3	3-4	3-4	1-3	3-4	2-3	2-4	1-3	2-3	2-3
3_1* # 6_3	4	3	2-3	4	2-3	2-3	2-3	2-3	2	1-3	2-3	3-4	2-3
3_1 # 3_1 # 3_1	2-4	2-3	2-3	2-4	5-6	5	2-4	5-6	3-4	4-5	2-4	2-4	3-4
3_1* # 3_1* # 3_1*	6	5	4-5	6	2-4	2-4	4	2-4	3	2-4	4	5	3-4
3_1 # 3_1* # 3_1*	4	3	2-3	4	2-4	2-4	2-4	2-4	2-3	2-4	2-4	3-4	2-4
3_1 # 3_1 # 3_1*	2-4	2-3	2-3	2-4	3-4	3-4	2-4	3-4	2-3	2-4	2-4	2-4	2-4
