K	9_20	9_21	9_23	9_26	9_27	9_31	3_1 # 6_1	3_1* # 6_1	3_1 # 6_2	3_1* # 6_2
9_8*	3	2	3-4	2	2	2-3	2	2	3	1-2
9_9	2	4	2	4	3	2-3	2-3	4-5	2-3	3-4
9_9*	5	2-3	5	2-3	3-4	4	4-5	2-3	5	3
9_10	4-5	2	4-5	2-3	2-4	3-4	3-5	1-3	4-5	2-3
9_10*	2-3	3-4	2-3	3-4	2-3	2-3	1-3	3-5	1-3	2-4
9_11	4	1	4	2	2-3	3-4	3-4	1-3	4	2-3
9_11*	2	3	2	3	2	2	1-3	3-4	1-3	2-4
9_12	1	2	2-3	2	2	2-3	2	2	2-3	2-3
9_12*	3	2	3	2	2	2-3	2-3	2-3	3	2-3
9_13	4-5	2	4-5	2	2-4	3-4	3-5	2-3	4-5	2-3
9_13*	2	3-4	2	3-4	2-3	2	2-3	3-5	2-3	2-4
9_14	2-3	2	2-3	1	2	2-3	2-3	2	2-3	1-2
9_14*	2	2	2	2	2	2	2	2	2	1-3
9_15	3	2	3-4	2	2	2-4	2-3	2-3	3	1-3
9_15*	2	2-3	2	2-3	2	2	2-3	2-3	1-3	1-3
9_17	2	2-3	2-4	2	2	2-3	2-3	2-3	1-2	1-2
9_17*	3	2-3	3-4	2	2	2-3	2-3	2-3	3	1-3
9_18	2	3	2	3	2-3	2	2-3	3-4	2-3	2-4
9_18*	4	2	4	2	2-3	3-4	3-4	2-3	4	2-3
9_19	2-3	2	2-3	2	2	2-3	2	2	2-3	1-3
9_19*	2-3	2	2-3	2	2	2-3	2-3	2-3	2-3	1-3
9_20	0	3	2	3	2	2	2	3	2	2
9_20*	4	2	4	2	2	3	3-4	2	4	2
9_21	3	0	3	2	2	2-3	2-3	2	3	2
9_21*	2	2	2	2	2	2	2	2-3	1-2	2-3
9_23	2	3	0	3	2-3	2	1-3	3-4	2-3	2-4
9_23*	4	2	4	2	2-3	3-4	3-4	1-3	4	2-3
9_26	3	2	3	0	2	2-3	2-3	2	3	2
9_26*	2	2	2	2	2	2	2	2-3	1-2	2
9_27	2	2	2-3	2	0	2	2	2-3	2	1-3
9_27*	2	2	2-3	2	2	2	2-3	2	2	1-2
9_31	2	2-3	2	2-3	2	0	2	2-3	1-2	1-3
9_31*	3	2	3-4	2	2	2	2-3	2	3	1-2
3_1 # 6_1	2	2-3	1-3	2-3	2	2	0	2	1	1-3
3_1* # 6_1*	3-4	2	3-4	2	2-3	2-3	2-3	1-2	3-4	1-2
3_1 # 6_1*	2	2-3	1-3	2-3	2	2	1	2-3	1-2	1-3
3_1* # 6_1	3	2	3-4	2	2-3	2-3	2	0	3	1
3_1 # 6_2	2	3	2-3	3	2	1-2	1	3	0	2
3_1* # 6_2*	4	1-2	4	1-2	2	3	3-4	1-2	4	2
3_1 # 6_2*	2	2-3	2-3	2	1-2	1-2	1-2	1-3	2	1-3
3_1* # 6_2	2	2	2-4	2	1-3	1-3	1-3	1	2	0
3_1 # 6_3	2	2-3	2-3	2-3	1-2	2	1-2	2-3	2	2-3
3_1* # 6_3	3	1-2	3-4	2	1-2	2	2-3	1-2	3	2
3_1 # 3_1 # 3_1	2-3	4	2-4	4	3	2-3	2-3	4-5	1-2	3-4
3_1* # 3_1* # 3_1*	5	2-3	5	2-3	3-4	4	4-5	2-3	5	3
3_1 # 3_1* # 3_1*	3	2-3	3-4	2-3	2-3	2-3	2-3	1-3	3	1-3
3_1 # 3_1 # 3_1*	2-3	2-3	2-4	2-3	2-3	2-3	1-3	2-3	1-2	1-3
