K	3_1 # 6_3	3_1 #3_1 #3_1	3_1 #3_1* #3_1*	4_1 #5_1	4_1 # 5_2	10_1	10_2
9_8*	2-3	4-5	2-3	3	2	2-3	4
9_9	2-3	2-4	4	2-3	2-3	3-4	2
9_9*	4	6	2-4	5-6	4-5	3-4	6
9_10	3-4	5-6	2-4	4-6	3-5	2-4	5-6
9_10*	2-3	2-4	3-4	2-3	2-3	2-4	2-3
9_11	3-4	5	2-4	4	3	2-3	5
9_11*	2-3	2-4	3-4	2	2	2-3	2
9_12	1-3	2-4	2-4	1-4	1-3	2	2-4
9_12*	2-3	4	2-4	3-4	2-3	2	4
9_13	3-4	5-6	2-4	4-6	3-5	2-4	5-6
9_13*	2-3	2-4	3-4	2	1-3	2-4	2
9_14	2-3	3-4	2-3	2-4	2-3	2	3-4
9_14*	2	3	2-3	2-3	2	2	3
9_15	2-4	4-5	2-4	3	2	2-3	4
9_15*	1-3	2-4	2-4	2-3	2	2-3	2-3
9_17	1-3	2-4	2-4	2-3	2	2-3	2-3
9_17*	2-3	4	2-4	3	2	2-3	4
9_18	2-3	2-4	3-4	2-3	2	2-3	2-3
9_18*	3-4	5	2-4	4-5	3-4	2-3	5
9_19	2-3	3-4	2-4	2-3	2	2	3-4
9_19*	2-3	3-4	2-4	2-3	2	2	3-4
9_20	2	2-3	3	2-3	2	2-3	2-3
9_20*	3	5	2-3	4	3	2-3	5
9_21	2-3	4	2-3	3-4	2-3	2	4
9_21*	1-2	2-3	2-3	2-3	1-2	2	2-3
9_23	2-3	2-4	3-4	1-2	1-2	2-3	2
9_23*	3-4	5	2-4	4-5	3-4	2-3	5
9_26	2-3	4	2-3	3-4	2-3	2	4
9_26*	2	2-3	2-3	2	1-2	2	2
9_27	1-2	3	2-3	2-3	2	2	3
9_27*	1-2	3-4	2-3	2-3	2	2	3
9_31	2	2-3	2-3	1-2	1-2	2-3	2
9_31*	2	4	2-3	3-4	2-4	2-3	4
3_1 # 6_1	1-2	2-3	2-3	2-3	2-3	2-3	2-3
3_1* # 6_1*	2-3	4-5	1-3	3-4	2-3	2-3	4-5
3_1 # 6_1*	1-2	2-3	2-3	2-3	2-3	2-3	2-3
3_1* # 6_1	2-3	4-5	1-3	3-4	2-3	2-3	4
3_1 # 6_2	2	1-2	3	2-3	2-3	2-3	1-3
3_1* # 6_2*	3	5	1-2	4	3	2-3	5
3_1 # 6_2*	2	3	1-2	2-3	1-3	1-3	3
3_1* # 6_2	2-3	3-4	1-3	2-4	1-3	1-3	3
3_1 # 6_3	0	2	2	2-3	2-3	2-3	2-3
3_1* # 6_3*	2	4	1-2	3-4	2-4	2-3	4
3_1 # 3_1 # 3_1	2	0	4	2-4	2-4	3-4	2-4
3_1* # 3_1* # 3_1*	4	6	2	5-6	4-5	3-4	6
3_1 # 3_1* # 3_1*	2	4	0	3-4	2-4	2-4	4
3_1 # 3_1 # 3_1*	1-2	2	2	2-4	1-4	2-4	2-4
