K	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21	3_1 # 5_1	3_1* # 5_1
4_1 # 5_1	2-3	2-3	2-3	2	1-3	2-3	2-3	5-6	2-3	1-4	1-2	1-2
4_1 # 5_1*	2-3	2-3	3	4-5	3	2-3	2-3	2	2-4	3-4	5-6	3-4
4_1 # 5_2	2	2	2	1-2	1-2	1-3	1-3	4-5	2	1-3	2-3	1-3
4_1 # 5_2*	2	2	2	3-4	2	1-3	1-3	2-3	2-3	2-3	4-5	2-4
10_1	2	2	2	2-3	1-3	2	2-3	3-4	1-2	1-2	3-4	2-4
10_1*	2	2	2	2-3	1-3	2	2-3	3-4	1-2	1-2	3-4	2-4
10_2	3-4	3	2	1-2	2-3	3	3	6	3	2-3	2	2
10_2*	3-4	3-4	4	5	4	3	3	1-2	3-4	4	6	4
10_3	2	2-3	2-3	2-4	2-4	1-3	2-4	3-5	2-3	2-3	3-5	2-5
10_3*	2	2-3	2-3	2-4	2-4	1-3	2-4	3-5	2-3	2-3	3-5	2-5
10_4	2	2-3	2-3	2-4	1-3	1-3	1-4	4-5	1-3	2-3	2-5	2-5
10_4*	2	2-3	2-3	3-4	2-3	1-3	1-4	2-5	1-3	2-3	4-5	2-5
10_5	2-4	2-3	3	4	3	2	2	1-2	2-3	3	5	3
10_5*	2-4	2	2	1-2	2	2	2	5	2-3	1-3	2	2
10_6	2-3	2-3	2	2	1-3	2-3	2-3	5-6	2-3	1-3	2	2
10_6*	2-3	2-4	3-4	4-5	3-4	2-3	2-3	2	2-4	3-4	5-6	3-4
10_7	2	2	2	1-3	1-3	1-2	1-3	4	1-2	1-2	2-4	2-4
10_7*	2	2	2	3	2-3	1-2	1-3	2-4	1-2	2	4	2-4
10_8	2-3	2-3	2	2-3	2-3	2-3	2-3	5	2-3	1-2	1-3	1-3
10_8*	2-3	2-3	3	4	3	2	2-3	1-3	2-3	3	5	3-4
10_9	2-3	2	2	3	2-3	2	2	2-3	1-2	2	4	2-3
10_9*	2-3	2	2	2-3	1-2	2	2	4	1-2	2	2-3	2-3
10_10	2	2	2	2-3	1-2	2	1-3	3-4	1-2	2	3-4	2-4
10_10*	2	1	2	2-3	1-2	2	1-3	3-4	1-2	2	3-4	2-4
10_11	2-3	2-3	2-3	1-4	1-3	1-3	1-3	4-6	1-4	1-3	2-4	2-4
10_11*	2-3	2-3	2-3	3-5	2-3	1-3	1-3	2-4	1-4	2-4	4-6	2-4
10_12	2-4	2-3	2-3	3-4	2-3	1-3	1-3	2	1-3	2-3	4	2-4
10_12*	2-4	2	2-3	1-2	1-3	1-3	1-3	4	1-3	1-3	2	2
10_13	1	2-3	2-3	2-4	2-3	1-3	2-4	3-5	1-3	1-3	3-5	2-5
10_13*	1	2-3	2-3	2-4	2-3	1-3	2-4	3-5	1-3	1-3	3-5	2-5
10_14	2-3	2-3	1	1-2	1-2	2	2	5	2-3	1-3	2	2
10_14*	2-3	2-3	3	4	3	2	2	1-2	2-3	3	5	3
10_15	2-4	2	2-3	3	2	1-3	1-3	2	1-2	2-3	4	2-4
10_15*	2-4	2	2-3	1-2	1-2	1-3	1-3	4	1-2	1-3	2	2
10_16	2	2-3	2-3	3-4	2-3	1-3	1-4	2-4	1-3	2-3	4-5	2-5
10_16*	2	2-3	2-3	1-3	1-3	1-3	1-4	4-5	1-3	1-3	2-4	2-4
10_17	2-3	2	2	2-3	2-3	1-2	1-3	3	1-2	2	3	2-3
10_18	2	2	1	2-3	1-2	2	1-3	4	1-2	1-2	2-4	1-4
10_18*	2	2	2	3	2	2	1-3	2-4	1-2	2	4	2-4
10_19	2	2	2	2-3	2	1-2	1-2	4	2-3	2	2-3	2-3
10_19*	2	1	2	3	2	1-2	1-2	2-3	2-3	2-3	4	2-3
10_20	2	2-3	2	1-3	1-2	1-2	1-2	4-5	2-3	1-3	2-3	1-3
10_20*	2	2-3	2-3	3-4	2-3	1-2	1-2	2-3	2-3	2-3	4-5	2-3
10_21	2-3	2	2	2	1-2	2-3	2-3	5	2	2-3	2-3	2-3
10_21*	2-3	2-3	3	4	3-4	2-3	2-3	2-3	2-3	3	5	3-4
10_22	2-3	2-3	2-3	2-4	2-3	1-2	1-3	3-4	1-3	1-3	3-5	1-4
10_22*	2-3	2-3	2	2-4	2-3	1-3	1-3	3-5	1-3	1-2	3-4	1-4
