K	3_1 # 6_1	3_1* # 6_1	3_1 # 6_2	3_1* # 6_2	3_1 # 6_3	3_1 # 3_1 # 3_1	3_1 # 3_1* # 3_1*
4_1 # 5_1	2-3	3-4	2-3	2-4	2-3	2-4	3-4
4_1 # 5_1*	3-4	2-3	4	2-3	3-4	5-6	2-4
4_1 # 5_2	2-3	2-3	2-3	1-3	2-3	2-4	2-4
4_1 # 5_2*	2-3	2-3	3	1-3	2-4	4-5	1-4
10_1	2-3	2-3	2-3	1-3	2-3	3-4	2-4
10_1*	2-3	2-3	2-3	1-3	2-3	3-4	2-4
10_2	2-3	4	1-3	3	2-3	2-4	4
10_2*	4-5	2-3	5	3	4	6	2-4
10_3	2-3	2-3	2-4	1-4	2-4	3-5	2-5
10_3*	2-3	2-3	2-4	1-4	2-4	3-5	2-5
10_4	1-3	2-3	2-3	2-3	2-4	2-5	2-5
10_4*	2	1-2	3	2-3	2-4	4-5	2-5
10_5	3-4	1-2	4	2	3	5	2-3
10_5*	1-2	3-4	1-2	2-3	2	2-3	3
10_6	2-3	3	2-3	2-3	2-3	2-4	3-4
10_6*	3-4	2-3	4-5	2-3	3-4	5-6	2-4
10_7	2-3	2-3	1-3	2-3	1-3	2-4	2-4
10_7*	2-3	2-3	3	2-3	2-3	4	2-4
10_8	2-3	3	2	2	1-3	2-4	3-4
10_8*	3	2-3	4	2-3	3-4	5	2-4
10_9	2-3	1-2	3	2	2-3	4	2-3
10_9*	1-2	2-3	2	2-3	1-2	2-3	2-3
10_10	2-3	2-3	2-3	2-3	2-3	3-4	2-4
10_10*	2	2	2-3	2-3	2-3	3-4	2-4
10_11	2-3	2-3	1-3	2-3	1-3	2-4	2-4
10_11*	2-3	2-3	3-4	2-3	2-4	4-6	2-4
10_12	2-3	2-3	3	2-3	2-3	4	2-4
10_12*	2-3	2-3	1-3	2-3	2-3	2-4	2-4
10_13	2	2	2-3	2-3	2-4	3-5	2-5
10_13*	2-3	2-3	2-4	2-4	2-4	3-5	2-5
10_14	1-2	3-4	1-2	2-3	2	2-3	3
10_14*	3-4	1-2	4	2	3	5	2-3
10_15	2-3	2-3	3	2-3	2	4	2-4
10_15*	2-3	2-3	1-3	2-3	1-2	2-4	2-4
10_16	2-3	2-3	3-4	2-4	2-4	4-5	2-5
10_16*	2	2	1-3	2-3	2-4	2-5	2-5
10_17	2-3	2-3	2-3	1-3	2-3	3-4	2-4
10_18	2-3	2-3	2-3	2-3	1-3	2-4	2-4
10_18*	2	2	3	2-3	2-3	4	2-4
10_19	1-2	2-3	2	2	1-2	2-3	2-3
10_19*	2-3	1-2	3	2	2-3	4-5	2-3
10_20	2	2-3	2	1-3	2	2-3	2-3
10_20*	2-4	2	3-4	1-2	2-3	4-5	2-3
10_21	1-3	3	2-3	2-3	2-3	2-4	3-4
10_21*	3-4	1-3	4	2-3	3-4	5	2-4
10_22	2-4	2-3	2-3	1-3	1-4	3-5	2-4
10_22*	2-3	2-3	2	1-2	1-3	3-4	2-4
