K	7_5	7_6	7_7	3_1 # 4_1	8_1	8_2	8_3	8_4	8_5	8_6	8_7	8_8	8_9	8_10	8_11
3_1	1	1	2	1	2	1	2-3	2	3	1	2	1	2	2	2
3_1*	3	2	1	2-3	2	3	2-3	2-3	1-2	2-3	1	1	2	1-2	2
4_1	2-3	1	1	1	2	2	2	1	2	2	2	2-3	2	2-3	2
5_1	1	2	2-3	1-2	2-3	1	2-4	2-3	4	2	3	2	2-3	3	2
5_1*	4	3	2	3-4	2-3	4	2-4	3-4	2-3	3-4	1	2	2-3	1	3
5_2	1	1	2	1-2	2	2	2-3	2-3	3	2	2	2	2	2-3	1
5_2*	3	2	2	2-3	2	3	2-3	2-3	1-3	2-3	2	1	2	1	2
6_1	2-3	2	2	2	1	2	1	2	2-3	1	2	2-3	2	1-3	1
6_1*	2-3	2	2	2	2	2-3	1	1	2	2	2	2-3	2	1-3	2
6_2	2	2	2	2	2	1	2	1	3	1	2	2	1	2-3	1
6_2*	3	2	2	2	2	3	2	2	1	2-3	2	2	1	1-3	2
6_3	2	2	2	2	2	2	2-3	2-3	2-3	2	1	1	2	1	2
3_1 # 3_1	2	2	2-3	2	2-3	2	2-4	2-3	4	2	3	2	2-3	3	1-3
3_1* # 3_1*	4	3	2	3-4	2-3	4	2-4	3-4	1	3-4	2	2	2-3	1-3	3
3_1 # 3_1*	2	2	1-2	2	2-3	2	2-4	2-3	2-3	2	2	2	2-3	1	1-3
7_1	1	2-3	3-4	2-3	3-4	2	3-5	2-4	5	2-3	4	3	3-4	4	2-3
7_1*	5	4	3	4-5	3-4	5	3-5	4-5	1-4	4-5	2	3	3-4	2	4
7_2	1	1	2	2-3	2	2-3	2-3	2-3	3	2-3	2	2-3	2	2-3	2
7_2*	3	2	2	2-3	2	3	2-3	2-3	1-3	2-3	2	2	2	1-2	2
7_3	4	3	2-3	3-4	2-3	4	2-4	3-4	1-4	3-4	2	2	2-3	2	3
7_3*	2	2	2-3	1-3	2-3	2	2-4	2-4	4	2-3	3	2-3	2-3	3-4	2
7_4	3-4	2-3	2	2-4	2-3	3-4	2-4	2-4	2-3	2-4	2	2	2-3	1-2	2-3
7_4*	2	2	2-3	1-2	2-3	2	2-4	2-3	3-4	2	2-3	2	2-3	2-3	2
7_5	0	2	2-3	2	2-3	2	2-4	2-3	4	2	3	2	2-3	3	2
7_5*	4	3	2	3-4	2-3	4	2-4	3-4	2-3	3-4	2	2	2-3	1-2	3
7_6	2	0	2	2	2	2	2-3	2	3	2	2	2	2	2-3	2
7_6*	3	2	2	2	2	3	2-3	2	1-3	2-3	2	2	2	1-2	2
7_7	2-3	2	0	2	2	2-3	2-3	2	2-3	2-3	2	2	2	1-3	2
7_7*	2	2	2	2	2	2	2-3	2	2-3	2	2	2	2	1-3	2
3_1 # 4_1	2	2	2	0	2-3	2	1-3	2	3	1-2	2-3	2	2-3	2-3	2-3
3_1* # 4_1	3-4	2	2	2	2-3	3	1-3	2	2-3	2-3	1-2	2	2-3	1-3	2-3
8_1	2-3	2	2	2-3	0	2	1	2	2-3	1	2	2-3	2	1-3	1
8_1*	2-3	2	2	2-3	2	2-3	1	2	2-3	2-3	2	2-3	2	1-3	2
8_2	2	2	2-3	2	2	0	2-3	2	4	1	3	2	2	3	1
8_2*	4	3	2	3	2-3	4	2-3	3	2	3-4	2	2	2	1-2	3
8_3	2-4	2-3	2-3	1-3	1	2-3	0	1	2-3	2	2-3	2-4	2	2-4	2
8_4	2-3	2	2	2	2	2	1	0	3	1	2-3	2-3	1	2-4	2
8_4*	3-4	2	2	2	2	3	1	2	1-2	2	2-3	2-3	1	1-4	2
8_5	4	3	2-3	3	2-3	4	2-3	3	0	3-4	1-3	2-3	2	1-4	3
8_5*	2-3	1-3	2-3	2-3	2-3	2	2-3	1-2	4	1-2	3	2-3	2	3-4	2
8_6	2	2	2-3	1-2	1	1	2	1	3-4	0	2-3	2	2	2-3	2
8_6*	3-4	2-3	2	2-3	2-3	3-4	2	2	1-2	2-3	2	2	2	1-3	2-3
8_7	3	2	2	2-3	2	3	2-3	2-3	1-3	2-3	0	1	2	1-2	2
8_7*	2	2	2	1-2	2	2	2-3	2-3	3	2	2	2	2	2	2
8_8	2	2	2	2	2-3	2	2-4	2-3	2-3	2	1	0	2-3	1-2	2-3
8_8*	2	2	2	2	2-3	2	2-4	2-3	2-3	2	2	1	2-3	1-2	2
8_9	2-3	2	2	2-3	2	2	2	1	2	2	2	2-3	0	2-3	2
