K	4_1 # 5_1	4_1 # 5_2	10_1	10_2	10_3	10_4	10_5	10_6	10_7	10_8	10_9	10_10
4_1 # 5_1	0	1	2-4	2	2-5	2-4	4-5	2	2-4	2-3	3-4	2-3
4_1 # 5_1*	4	3	2-4	5	2-5	3-4	2	4-5	3-4	4	2-3	2-3
4_1 # 5_2	1	0	1-3	2-3	2-4	1-3	3-4	1-3	1-3	2-3	2-3	1-2
4_1 # 5_2*	3	2	1-3	4	2-4	2-3	2-3	3-4	2-3	3	2-3	1-2
10_1	2-4	1-3	0	3	1	2-3	2-3	2	1	2-3	2	2
10_1*	2-4	1-3	2	3-4	2	2	2-3	2-4	2	2-3	2	2
10_2	2	2-3	3	0	3-4	2-4	5	1	2	2	4	3-4
10_2*	5	4	3-4	6	3-5	4	2	5-6	4	5	2	3-4
10_3	2-5	2-4	1	3-4	0	2	2-4	2-3	2	2	2-3	2-3
10_3*	2-5	2-4	2	3-5	1	1	2-4	2-4	2-3	2-3	2-3	2-3
10_4	2-4	1-3	2-3	2-4	2	0	3-4	2-3	2-3	2	2	2
10_4*	3-4	2-3	2	4	1	2-3	2-4	3	2	3	2-3	2-3
10_5	4-5	3-4	2-3	5	2-4	3-4	0	4-5	3	4	2	2
10_5*	2	2-3	2-3	2	2-4	2-4	4	2	2-3	2-3	3	2-3
10_6	2	1-3	2	1	2-3	2-3	4-5	0	2-3	1	3-4	2-4
10_6*	4-5	3-4	2-4	5-6	2-4	3	2	4-5	3-4	4	2	2-3
10_7	2-4	1-3	1	2	2	2-3	3	2-3	0	2-3	2	2
10_7*	3-4	2-3	2	4	2-3	2	2-3	3-4	2	3	2	2
10_8	2-3	2-3	2-3	2	2	2	4	1	2-3	0	3	2-3
10_8*	4	3	2-3	5	2-3	3	2-3	4	3	4	1	2-3
10_9	3-4	2-3	2	4	2-3	2	2	3-4	2	3	0	2
10_9*	2-3	2-3	2	2	2-3	2-3	3	2	2	1	2	2
10_10	2-3	1-2	2	3-4	2-3	2	2	2-4	2	2-3	2	0
10_10*	2-3	1-2	2	3-4	2-3	2-3	2-3	2-3	2	2-3	2	2
10_11	2-4	1-3	2	2-3	1	1	3-5	2	2-3	1	2-3	2-3
10_11*	3-4	2-3	2-3	4-5	2	2	2-3	3-4	2-3	3	2	2-3
10_12	3-4	2-4	2-3	4	2-4	2-4	1	3-4	2-3	3-4	2-3	2-3
10_12*	2	1-3	2-3	2	2-4	2-4	3	2	2-3	2-3	2-3	2-3
10_13	2-4	2-3	1	3-4	2	2	2-4	2-3	2	2-3	2-3	2-3
10_13*	2-4	2-3	2	3-5	1	2	2-4	2-4	2-3	2-3	2-3	2
10_14	2	1-3	2-3	1	2-4	2-4	4	2	2-3	2	3	2-3
10_14*	4	3	2-3	5	2-4	3-4	2	4-5	3	4	2	2-3
10_15	3-4	2-3	2-3	4	2-4	2-4	2	3-4	2-3	3-4	2-3	2-3
10_15*	2	1-3	2-3	2	2-4	2-4	3	2	2-3	2-3	2-3	2-3
10_16	3-4	2-3	2-3	4-5	2	2	2-4	3-4	2-3	3	2	2
10_16*	2-4	1-3	2	2-3	1	2	3-4	2	2	1	2-3	2-3
10_17	2-3	2-3	2	3	2-3	2-3	2	2-3	2	2-3	2	2
10_18	1-3	1-2	2	2-3	2-3	2	3	2	2	1	2	2
10_18*	3	2	2	4	2-3	2-3	2-3	3	2	3	2	2
10_19	2-3	2	2-3	2-3	2-4	2-3	3	2-3	2-3	2	2-3	2
10_19*	3	2	2-3	4	2-4	2-3	2	3-4	2-3	3	2	2
10_20	1-3	1-3	1	2	2	2	3-4	1	2	2	2-3	2-3
10_20*	3-5	2-4	2-3	4-5	2-3	2	2	3-5	2-3	3-4	2	2-3
10_21	1-3	1-2	2	1	2-3	2-4	4	2	1	2	3	2-3
10_21*	4-5	3-4	2-3	5	2-4	3	2-3	4-5	3	4	2	2-3
10_22	2-4	2-3	2-3	3-4	2-3	1	2-3	2-3	2-3	2	1	2-3
10_22*	2-4	2-3	2-3	3	2	2	2-4	2	2-3	2	2	2-3
