K	9_11	9_12	9_13	9_14	9_15	9_17	9_18	9_19	9_20	9_21	9_23	9_26	9_27	9_31
10_23	2	2	2	2	2	2-3	3	2	3	2	3	2	2	2-3
10_23*	3	2	3-4	2	2-3	2-3	2	2	2	2	2	2	2	2
10_24	3-4	2-3	3-5	2-3	2-4	2-3	2	2-3	2	2-3	2	2-3	2-3	2
10_24*	2	2-3	2-3	2	2	2-4	3-4	2-3	3-4	2	3-4	2	2-3	2-4
10_25	4	2-3	4-5	2-3	3-4	2-3	2	2-3	2	3	2	3	2	2
10_25*	2-3	3	2	2	2-3	3	4	2-3	4	2	4	2	2-3	3
10_26	2-3	2	2-4	2	2	2	2-3	2	2-3	2	2-3	2	2	2-3
10_26*	2-3	2	2-4	2	2	2	2-3	2	2-3	2	2-3	2	2	2-3
10_27	2-3	2	2	2	2-3	2-3	3	2	3	2	3	2	2	2-3
10_27*	3	2	3-4	2	2-3	2	2	2	2	2	2	2	2	2
10_28	2	2-3	2	2	2	2-3	2-4	2-3	2-3	2	2-4	2	2	2
10_28*	2-4	2-3	2-4	2-3	2-3	2-3	2	2-3	2	2-3	2	2-3	2	2
10_29	3-4	2	3-5	2-3	2-3	2	2-4	2	2	2-3	2-4	2-3	2-3	2-3
10_29*	2-4	2-3	2-4	2	2-3	2-3	3-4	2-3	3-4	2-3	3-4	2	2	2-4
10_30	3	2	3-4	2	2-3	2	2	2	2	2	2	2	2	2
10_30*	2	2	2	2	2	2-3	3	2	3	2	3	2	2	2-3
10_31	2	2	2-3	2	2	2-3	2-3	2	2	2	2-3	2	2	2
10_31*	2-3	2	2-3	2	2-3	2-3	2	2	2	2	2	2	2	2
10_32	2-3	2	2-4	2	2-3	2-3	2-3	2	2	2	2-3	2	2	2
10_32*	2-3	2	2-3	2	2-3	2	2-3	2	2	2	2-3	2	2	2
10_33	2-3	2	2-4	2	2-3	2-3	2-3	2	2-3	2	2-3	2	2	2-3
10_34	2	2-3	2-3	2	2	2-3	2-3	2-3	2	2	2-3	2	2	2
10_34*	2-3	2	2-3	2	2-3	2-3	2	2-3	2	2	2	2	2-3	2
10_35	2-3	2-3	2-5	2	2	2	2-4	2	2-3	2-3	2-4	2-3	2	2-4
10_35*	2-3	2	2-5	2-3	2	2	2-4	2	2-3	2-3	2-4	2-3	2	2-4
10_36	3	2	3-5	2-3	2	2	2	2	2	2-3	2	2-3	2	2
10_36*	2	2-3	2-3	2	2	2	3-4	2	3	2	3-4	2	2	2-3
10_37	2	2-3	2-3	2	2	2-4	2	2-3	2	2	2	2	2-3	2
10_38	3-4	2	3-5	2-3	2-3	2	2	2	2	2-3	2	2-3	2-3	2
10_38*	2	2-3	2-3	2	2	2-3	3-4	2-3	3-4	2	3-4	2	2	2-4
10_39	4	2-3	4-5	2-3	3	2	2	2-3	2	3	2	3	2-3	2
10_39*	2	3	2	2	2	3	4	2-3	4	2	4	2	2	3-4
10_40	2	2-3	2	2	2	2-3	3-4	2-3	3	2	3-4	2	2	2
10_40*	3-4	2-3	3-4	2-3	2-4	2-3	2	2-3	2	2-3	2	2-3	2	2
10_41	3	2	3-5	2-3	2	2	2-3	2	2	2-3	2-3	2-3	2	2-3
10_41*	2	2-3	2-4	2	2	2	3-4	2	3	2	3-4	2	2	2-4
10_42	2	2	2-4	2	2	2	2-3	2	2	2	2-3	2	2	2
10_42*	2-3	2	2-4	2	2	2	2-3	2	2	2	2-3	2	2	2
10_43	2	2	2-3	2	2	2-3	2-3	2-3	2	2	2-3	2	2	2
10_44	3	2	3-4	2	2	2	2-3	2	2	2	2-3	2	2	2
10_44*	2	2	2-3	2	2	2	3	2	3	2	3	2	2	2
10_45	2-3	2	2-4	2	2	2	2-4	2	2	2-3	2-4	2	2	2-3
3_1 # 7_1	6	3-4	6-7	4-5	5-6	3-5	2-3	4-5	2-3	5	2-3	5	4	3
3_1* # 7_1*	2-3	5	2-3	4	3-4	5	6	4-5	6	3-4	6	3	4-5	5
3_1 # 7_1*	1-3	3-5	2-3	2-4	1-4	3-5	4-5	2-5	4	2-4	4-5	2-3	2-4	3-4
3_1* # 7_1	4-5	1-4	4-5	2-4	3-5	1-5	2-3	2-5	2-3	3-4	2-3	3-4	2-4	2-3
3_1 # 7_2	4	2	4-5	2-3	3-4	1-3	2	2-3	2	3	2-3	3	2	1-2
