K	3_1 # 6_1	3_1* # 6_1	3_1 # 6_2	3_1* # 6_2	3_1 # 6_3	3_1 # 3_1 # 3_1	3_1 # 3_1* # 3_1*							
10_23	2-3	2-3	3	2-3	2-3	4	2-4							
10_23*	2-3	2-3	1-3	2-3	2-3	2-4	2-4							
10_24	2-3	2-3	1-3	1-3	2-3	2-4	2-4							
10_24*	2-4	2-3	3-4	1-3	2-4	4-5	2-4							
10_25	2	3	2	2-3	2	2-3	3							
10_25*	3-4	2	4	2	3	5	2-3							
10_26	2-3	2-3	2-3	2-3	1-3	3-4	2-4							
10_26*	2-3	2-3	2-3	2-3	1-3	3-4	2-4							
10_27	2-3	2	3	2	2-3	4	2-3							
10_27*	2	2-3	1-2	2	2	2-3	2-3							
10_28	2-3	2-3	2-3	2-3	2	3-4	2-4							
10_28*	2-3	2-3	2-3	2-3	2	3-4	2-4							
10_29	1-2	2	2	2	2-3	2-4	2-4							
10_29*	2-3	1-3	3-4	2-3	2-4	4-5	2-4							
10_30	2-3	2-3	2	1-2	2-3	2-4	2-4							
10_30*	2-3	2-3	3	1-3	2-3	4	2-4							
10_31	1-2	1-3	2	1-3	2	3	2-3							
10_31*	1-3	1-2	2-3	1-2	2-3	3-4	2-3							
10_32	1-2	1-3	2	1-3	1-2	3	2-3							
10_32*	1-3	1-2	2	1-2	1-2	3-4	2-3							
10_33	2	2	2-3	2-3	1-3	3-4	2-4							
10_34	2	2-3	2	1-3	2	3	2-3							
10_34*	2-3	2	2-3	1-2	2-3	3-4	2-3							
10_35	2-3	2-3	2-3	1-3	1-4	3-5	2-5							
10_35*	2	2	2-3	1-3	1-4	3-5	2-5							
10_36	1-2	2-3	2	2-3	1-2	2-3	2-3							
10_36*	2-3	1-2	3	2	2-3	4-5	2-3							
10_37	2-3	2-3	2-3	2-3	2-3	3-4	2-4							
10_38	2	2	1-2	2	2-3	2-4	2-4							
10_38*	2-3	2-3	3-4	2-3	2-4	4-5	2-4							
10_39	2-3	3	1-2	2	2-3	2-4	3-4							
10_39*	3-4	2-3	4	2-3	3-4	5	2-4							
10_40	2-3	1-2	3	1-2	2	4	2-3							
10_40*	1-2	2-3	1-2	1-3	2	2-3	2-3							
10_41	2	2	1-2	2	2-3	2-4	2-4							
10_41*	2-3	2-3	3	2-3	2-4	4-5	2-4							
10_42	2	2	2	2	2	3-4	2-4							
10_42*	2-3	2-3	2-3	2-3	2	3-4	2-4							
10_43	2	2	2	2	2	3	2-3							
10_44	2	2-3	1-2	2-3	1-2	2-3	2-3							
10_44*	2-3	2	3	2	2	4	2-3							
10_45	2	2	2	2	2-3	3-4	2-4							
3_1 # 7_1	3-4	5-6	2-3	4-5	3	1-3	5							
3_1* # 7_1*	5-6	3-4	6	4	5	7	3							
3_1 # 7_1*	3-4	1-4	4	2-4	3	5	1-3							
3_1* # 7_1	1-4	3-4	1-4	2-4	2-4	1-5	3-5							
3_1 # 7_2	1-2	3-4	1-2	2-3	2	1-3	3							
