K	4_1 # 5_1	4_1 # 5_2	10_1	10_2	10_3	10_4	10_5	10_6	10_7	10_8	10_9	10_10		
10_23	3-4	2-3	2	4	2-3	2-3	1	3-4	2	3	2	1		
10_23*	2-3	2	2	2-3	2-3	2-3	3	2-3	2	2-3	2	2		
10_24	1-3	1-2	1	2	2	2-3	3-4	1	2	2	2-3	2-3		
10_24*	3-5	2-4	2-3	4-5	2-3	2	2-3	3-5	2-3	3-4	2-3	2-3		
10_25	1-3	1-3	2	1	2-3	2-3	4	2	1	2	3	2-3		
10_25*	4-5	3-4	2-3	5	2-4	3	2	4-5	3	4	2	2-3		
10_26	2-3	2	2	3-4	2-3	1	2-3	2-3	2	2	1	2		
10_26*	2-3	2	2	3	2	2-3	2-3	2-3	2	2	2	2		
10_27	3-4	2-3	2	4	2-3	2-3	1	3-4	2	3	2	1		
10_27*	2-3	2-3	2	2-3	2-3	2-3	3	2-3	2	2	2	2		
10_28	2-4	2-3	2-3	3-4	2-4	2-4	2	2-4	2-3	2-4	2-3	2		
10_28*	2-3	2	2-3	3	2-4	2-4	2-3	2-3	2-3	2-4	2-3	2-3		
10_29	2-4	1-3	2	2-3	2-3	1	3-4	2	2-3	2	2-3	2-3		
10_29*	3-4	2-3	2-3	4-5	2	2	2-3	3-4	2-3	3	2-3	2		
10_30	2-3	1-2	2	2	2-3	2-3	3	2-3	2	2	2	2		
10_30*	3-4	2-3	2	4	2-3	2-3	2-3	3-4	2	3	2	2		
10_31	2-3	2-3	2	3	2-3	2-3	2-3	2-3	2	2-3	2	2		
10_31*	2-3	2	2	3	2-3	2-3	2	2-3	2	2-3	2	2		
10_32	2-3	2-3	2	3	2-3	2-3	2-3	2-3	2	2	2	2		
10_32*	2-4	2-3	2	3	2-3	2-3	2	2-3	2	2	1	2		
10_33	2-4	1-3	2	3-4	2-3	2	2-3	2-3	2	2-3	2	2		
10_34	2-3	2-3	2-3	3	2-4	2-4	2	2-3	2-3	2-3	2-3	2		
10_34*	2-3	2	2-3	3	2-4	2-4	2	2-3	2	2-4	2	2-3		
10_35	2-3	2	2	3-4	2-3	2	2-4	2-4	2-3	2-3	2-3	2		
10_35*	2-3	2	1	3-4	2	2-3	2-4	2-3	2	2-3	2-3	2		
10_36	2-3	2	2-3	2	2-4	2-3	3-4	2-3	2	2-3	2-3	2		
10_36*	3	2	2-3	4	2-4	2-3	2	3-4	2-3	3	2	2		
10_37	2-3	2	2-3	3	2-4	2-4	2-3	2-3	2-3	2-4	2-3	2-3		
10_38	2-3	2	2-3	2	2-3	2-3	3-4	1	2-3	2	2-3	2-3		
10_38*	3-4	2-3	2-3	4-5	2-3	2	2-3	3-4	2-3	3	2-3	2		
10_39	2-3	2	2-3	1	2-4	2-3	4	2	2-3	2	3	2-3		
10_39*	4	3	2-3	5	2-4	3	2-3	4-5	3	4	2	2-3		
10_40	3-4	2-4	2-3	4	2-4	2-4	1	3-4	2-3	3-4	2	2-3		
10_40*	1-3	2	2-3	2-3	2-4	2-4	3	2-3	2-3	2-3	2-3	2-3		
10_41	2-3	2	2	2-3	2-3	2-3	3-4	2-3	1	2	2-3	2		
10_41*	3	2	2-3	4	2-3	2	2-3	3-4	2-3	3	2-3	2		
10_42	2-3	2	2	3	2-3	2-3	2-3	2-3	2	2	2	1		
10_42*	2-3	2	2	3-4	2-3	2	2-3	2-4	2	2-3	2	2		
10_43	2-3	1-3	2-3	3	2-4	2-4	2	2-3	2-3	2-3	2	2-3		
10_44	2-3	2	2	2-3	2-3	2-3	3	2-3	2	2-3	2	2		
10_44*	3	2	2	4	2-3	2-3	2	3-4	2	3	2	2		
10_45	2-3	2	2-3	3	2-3	2	2-3	2-3	2-3	2	2-3	2		
3_1 # 7_1	2-3	3-4	4-5	2	4-6	3-6	6	2-3	3-4	2-4	5	4-5		
3_1* # 7_1*	6-7	5-6	4-5	7	4-6	5-6	2	6-7	5	6	3-4	4		
3_1 # 7_1*	4-5	3-5	2-5	5	2-6	3-6	1-2	4-5	3-5	4-5	2-4	2-4		
3_1* # 7_1	2-3	2-4	2-5	1-2	2-6	2-6	4	2-3	2-4	1-4	3-4	2-5		
3_1 # 7_2	2-3	2-3	2-3	1-3	2-4	2-4	4	2-3	1-2	2-3	3	2-3		
