K	10_11	10_12	10_13	10_14	10_15	10_16	10_17	10_18	10_19	10_20	10_21	10_22		
10_23	2-4	2	2-3	3	2	2-3	2	2	2	2-3	3	2-3		
10_23*	2-4	2-3	2-3	2	2-3	2-3	2	2	2	2-3	2	2-3		
10_24	2	2-4	2	2-3	2-3	2-3	2-3	2-3	2-3	2	1	2-3		
10_24*	2-3	2-3	2-3	3-4	2-3	1	2-3	2-3	2-3	2-4	3-4	2		
10_25	2	3	2-3	2	3	3-4	2-3	2-3	2	1	2	2-3		
10_25*	3-4	2-3	2-4	4	2-3	2	2-3	3	3-4	3-4	4	2		
10_26	2	2-3	2-3	2-3	2-3	1	2	2	2	2-3	2-3	2		
10_26*	2-3	2-3	2-3	2-3	2-3	2	2	2	2	2-3	2	2		
10_27	2-4	2	2-3	3	2	2-3	2	2	2	2-3	3	2		
10_27*	2-3	2-3	2-3	2	2-3	2-3	2	2	2	2	2-3	2-3		
10_28	2-4	1	2-4	2-3	2	2-3	2-3	2-3	2	2-3	2-4	2-4		
10_28*	2-4	2-3	2-4	2-3	2	2-4	2-3	2-3	2-3	2-3	2	2-4		
10_29	2	2-4	1	2-3	2-4	2-3	2-3	2	2	1	2-3	2		
10_29*	2-3	2-4	2	3-4	2-4	2	2-3	2	2-3	2-3	3-4	2		
10_30	2-3	2-3	2-3	1	2-3	2-3	2	2	2	2-3	1	2-3		
10_30*	2-4	2-3	2-3	3	2-3	2	2	2	2-3	2-3	3	2		
10_31	2-3	2	2-3	2	1	2-3	2	2	1	2	2-3	2-3		
10_31*	2-4	2	2-3	2-3	2-3	2-3	2	2	2-3	2-3	2	2-3		
10_32	2-3	2-3	2-3	2	2	2-3	2	1	2	2	2-3	2		
10_32*	2-3	2-3	2-3	2-3	2	2-3	2	2	2	2-3	2-3	2		
10_33	2-3	2-3	2	2-3	2-3	2	2	2	1	2-3	2-3	2-3		
10_34	2-3	1	2-4	2	2	2-3	2-3	2-3	2	2	2-3	2-4		
10_34*	2-4	2-3	2-4	2-3	2	2-4	2-3	2-3	2-3	2-3	2	2-3		
10_35	2-3	2-4	1	2-3	2-4	2	2-3	2	2	2-3	2-4	2-3		
10_35*	2-3	2-4	2	2-3	2-4	2-3	2-3	2	2	2	2-3	2-3		
10_36	2-3	2-3	2-3	1	2-3	2-3	2-3	2	2	2	2	2-3		
10_36*	2-3	2-3	2-3	3	2-3	2-3	2-3	2	2	2-4	3-4	2-3		
10_37	2-4	2	2-4	2-3	1	2-3	2	2-3	2-3	2-3	2	2-4		
10_38	2	2-4	2	2	2-3	2-3	2-3	1	2	2	2	2-3		
10_38*	2-3	2-3	2-3	3-4	2-3	2	2-3	2	2-3	2-4	3-4	2		
10_39	2-3	3-4	2-3	2	3	3-4	2-3	2	2	2-3	2	2-3		
10_39*	3-4	2-3	2-4	4	2-3	2-3	2-3	3	3	3-4	4	2		
10_40	2-4	2	2-4	3	2	2-3	2	2-3	2-3	2-3	3-4	2-3		
10_40*	2-3	2-3	2-4	2	2	2-4	2	2-3	2	2	2	2-4		
10_41	2-3	2-4	2	2-3	2-4	2-3	2-3	2	2	2-3	2	2-3		
10_41*	2-3	2-4	2	3	2-4	2	2-3	2	2	2-3	3-4	2		
10_42	2-3	2-3	2	2-3	2	2-3	2	2	2	2-3	2-3	2-3		
10_42*	2-3	2-3	2-3	2-3	2	2	2	2	2	2-3	2-3	2		
10_43	2-3	2	2-4	2	2	2-4	2-3	2-3	2	2	2-3	2-3		
10_44	2-3	2-3	2-3	2	2	2-3	2	2	2	2	2-3	2-3		
10_44*	2-3	2-3	2-3	3	2	2-3	2	2	2	2-3	3	2-3		
10_45	2-3	2-4	2	2-3	2-4	2	2-3	2	2	2-3	2-3	2		
3_1 # 7_1	3-5	5	4-6	2-3	5	5-6	4	3-5	3-4	3-4	2-3	4-6		
3_1* # 7_1*	5-7	3	4-6	6	3	3-5	4	5	5	5-6	6	4-5		
3_1 # 7_1*	3-5	2-3	2-6	4	2-3	2-5	2-4	3-5	3-4	3-4	4-5	2-5		
3_1* # 7_1	2-5	3-5	2-6	1-3	3-5	3-6	2-4	1-5	2-4	2-4	2-3	2-5		
3_1 # 7_2	1-3	3	2-4	1-2	3	3-4	2-3	2-3	2	2	2-3	2-4		
