K	0_1	3_1	4_1	5_1	5_2	6_1	6_2	6_3	3_1 # 3_1	3_1 # 3_1*	7_1	7_2	7_3	7_4
8_10	1-2	2	2-3	3	2-3	1-3	2-3	1	3	1	4	2-3	2	1-2
8_10*	1-2	1-2	2-3	1	1	1-3	1-3	1	1-3	1	2	1-2	3-4	2-3
8_11	1	2	2	2	1	1	1	2	1-3	1-3	2-3	2	3	2-3
8_11*	1	2	2	3	2	2	2	2	3	1-3	4	2	2	2
8_12	2	2-3	1	2-4	2-3	1	2	2-3	2-4	2-4	3-5	2-3	2-4	2-4
8_13	1	2	1	2	1	2	2	1	2-3	2-3	3	2	2-3	2-3
8_13*	1	2	1	2-3	2	2	2	1	2-3	2-3	3-4	2	2	2
8_14	1	1	1	2	1	2	1	2	2	2	2-3	2	3	2-3
8_14*	1	2	1	3	2	2	2	2	3	2	4	2	2	2
8_15	2	1-2	2-3	1	1	2-3	1-3	2-3	1	2-3	1-2	1-2	4	3-4
8_15*	2	3	2-3	4	3	2-3	3	2-3	4	2-3	5	3	1-2	1-2
8_16	1-2	1	1	1-2	1	1-2	1-2	1	2	2	2-3	1-2	3-4	2-3
8_16*	1-2	2	1	3	2-3	1-2	2	1	3	2	4	2-3	2	1-2
8_17	1	1	2	2	1-2	1-2	1-2	2	2	2	3	1-2	2-3	1-2
8_17*	1	1	2	2	1-2	1-2	1	2	2	2	3	1-2	2-3	1-2
8_18	1-2	1	1-3	2	1-2	1-3	1-2	2	2	1-2	3	1-3	2-3	1-2
8_18*	1-2	1	1-3	2	1-2	1-3	1-2	2	2	1-2	3	1-3	2-3	1-2
8_19	3	4	3-4	5	4	3-4	4	3	5	3	6	4	2	2-3
8_19*	3	2	3-4	1	2	3-4	2-3	3	1	3	1-2	2-3	5	4-5
8_20	1	1-2	1-2	2	1	1-2	1-2	1	2-3	1	3	1-2	2-3	2-3
8_20*	1	1-2	1-2	2-3	1-2	1-2	1-2	1	2-3	1	3-4	1-2	2	2
8_21	1	1-2	1-2	1-3	1-2	2	1	2	1	1-3	2-4	1-2	3	2-3
8_21*	1	2	1-2	3	2	2	2	2	3	1-3	4	2	1-3	1-3
3_1 # 5_1	3	2	3-4	1	2	3-4	2-3	3	1	3	2	2-3	5	4-5
3_1* # 5_1*	3	4	3-4	5	4	3-4	4	3	5	3	6	4	2	2-3
3_1 # 5_1*	2-3	2	1-4	3	2-3	2-4	2-3	2-3	3	1	4	2-4	2	1-3
3_1* # 5_1	2-3	2	1-4	1	2	2-4	1-3	2-3	1-3	1-3	2	1-3	3-4	2-3
3_1 # 5_2	2	1	2-3	2	1	2-3	1-2	2	1	2	1-3	1-2	4	3-4
3_1* # 5_2*	2	3	2-3	4	3	2-3	3	2	4	2	5	3	1-2	2
3_1 # 5_2*	2	1	1-3	2	1-2	2-3	2	2	2	1	3	2-3	2	2
3_1* # 5_2	2	1-2	1-3	2	1	2-3	2-3	2	2-3	1-2	3	2	2-3	2
4_1 # 4_1	2	2-3	1	2-4	2-3	2	2	2-3	2-4	2-4	3-5	2-3	2-4	1-4
9_1	4	3	4-5	2	3	4-5	3-4	4	2-4	4	1	3	6	5-6
9_1*	4	5	4-5	6	5	4-5	5	4	6	4	7	5	2	3
9_2	1	2	2	2-3	2	2	2	2	1-3	1-3	2-3	1	3	2-3
9_2*	1	2	2	3	2	2	2	2	3	1-3	4	2	2	2-3
9_3	3	4	3-4	5	4	3-4	4	3-4	5	3-4	6	4	1	2
9_3*	3	2-3	3-4	2	2	3-4	2-4	3-4	2-4	3-4	1	2	5	4-5
9_4	2	2-3	2-3	2	2	2-3	2-3	2-3	1-4	2-4	2	1	4	3-4
9_4*	2	3	2-3	4	3	2-3	3	2-3	4	2-4	5	3	1	2
9_5	2	2-3	2-3	3-4	2-3	2-3	2-3	2-3	3-4	2-3	4-5	2-3	2	1
9_5*	2	2	2-3	2	1	2-3	2-3	2-3	2-3	2-3	2-3	1	3-4	2-4
9_6	3	2	3-4	1	2	3-4	2-3	3	1-3	3	1	2	5	4-5
9_6*	3	4	3-4	5	4	3-4	4	3	5	3	6	4	2	2-3
9_7	2	1	2-3	2	2	2-3	2	2	2	2	2	1	4	3-4
9_7*	2	3	2-3	4	3	2-3	3	2	4	2	5	3	2	2
9_8	2	1	1	2	2	2	2	2	2	2	2-3	2	3-4	2-4
