K	3_1 # 7_1	3_1* # 7_1	3_1 # 7_2	3_1* # 7_2	3_1 # 7_3	3_1* # 7_3	3_1 # 7_4							
10_23	5	3-5	3	2-3	1-2	2	2-3							
10_23*	3	2-3	1-3	2-3	2-4	4	2-4							
10_24	3-4	2-4	1-3	1-3	2-4	4-5	2-4							
10_24*	5-6	3-5	3-4	1-3	2-3	2-3	2-3							
10_25	2-3	2-3	2	2-3	3	5	2-3							
10_25*	6	4	4	2	2-4	2-3	2-3							
10_26	4-5	2-5	2-3	2-3	2-4	3-4	2-4							
10_26*	4-5	2-5	2-3	2-3	2-4	3-4	2-4							
10_27	5	3-4	3	2	1-4	2-3	2-3							
10_27*	3	1-3	1-2	2-3	2-3	4	2-3							
10_28	4-5	2-5	2-3	2-3	2-3	3	2							
10_28*	4	2-4	2-3	2-3	2-4	3-4	2-4							
10_29	3-5	2-5	2-3	2-4	2-4	4-5	2-4							
10_29*	5-6	3-5	3-4	2-3	2-5	2-4	2-4							
10_30	3-4	2-4	2-3	1-3	2-4	4	2-4							
10_30*	5	3-5	3	1-3	1-3	2-3	2							
10_31	4	2-4	2	1-3	1-3	3	2-3							
10_31*	4	2-4	2-3	1-2	1-4	3	2-3							
10_32	4	2-4	2	1-3	2-3	3-4	1-3							
10_32*	4-5	2-4	2-3	1-2	2-4	3	1-3							
10_33	4-5	2-5	2-3	2-3	1-4	3-4	2-4							
10_34	4	2-4	2	1-3	2-3	3	2-3							
10_34*	4	2-4	2	1-2	2-4	3	2-3							
10_35	4-6	2-6	2-4	1-4	2-5	3-5	2-5							
10_35*	4-6	2-6	2-4	1-4	2-5	3-5	2-5							
10_36	3-4	2-4	2	2	2-3	4-5	1-3							
10_36*	5-6	3-4	3-4	2	2-3	2-3	1-3							
10_37	4	2-4	2-3	2-3	2-3	3	2-3							
10_38	3-4	2-4	1-3	2-3	2-4	4-5	2-4							
10_38*	5-6	3-5	3-4	2-3	1-3	2-3	2-3							
10_39	2-3	1-3	1-3	2-3	3-4	5	2-4							
10_39*	6	4-5	4	2-3	2-3	2-3	2-3							
10_40	5	3-4	3	1-2	2-3	2-3	2-3							
10_40*	3	2-3	1-2	1-3	2-3	4	2-3							
10_41	3-5	1-5	1-3	2-3	2-4	4-5	2-4							
10_41*	5-6	3-5	3-4	2-3	1-4	2-4	2-4							
10_42	4-5	2-5	2-3	2-3	2-4	3-4	1-4							
10_42*	4-5	2-5	2-3	2-3	2-4	3-4	1-4							
10_43	4	2-4	2	2	2-3	3	2-3							
10_44	3-4	2-4	1-2	2-3	2-3	4	2-3							
10_44*	5	3-4	3	2	2-4	2-3	2-3							
10_45	4-5	2-5	2-3	2-3	1-4	3-4	2-4							
3_1 # 7_1	0	2	2	4	5	7	4-5							
3_1* # 7_1*	8	6	6	4	3	1	4							
3_1 # 7_1*	6	4-6	4	2-4	1	1-3	2							
3_1* # 7_1	2	0	1-4	2	3-5	5	2-5							
3_1 # 7_2	2	1-4	0	2	3	5	2-3							
