K	0_1	3_1	4_1	5_1	5_2	6_1	6_2	6_3	3_1 # 3_1	3_1 # 3_1*	7_1	7_2	7_3	
3_1* # 7_2*	2	3	2-3	4	3	2-3	3	2	4	2	5	3	1-2	
3_1 # 7_2*	2	1	2-3	2	2	2-3	1-2	2	2	1-2	3	1-3	2	
3_1* # 7_2	2	1-3	2-3	2-3	2	2-3	1-3	2	2-4	1-2	3	1	2-3	
3_1 # 7_3	2-3	2	1-4	3	2-3	2-4	2-3	1-3	3	2	4	2-4	1	
3_1* # 7_3*	2-3	2-3	1-4	2	1-2	2-4	1-4	1-3	2-4	2-3	2	1-2	3-4	
3_1 #7_3*	3	2	3-4	2	2	3-4	2-3	3	2	3	1-2	2	5	
3_1* # 7_3	3	4	3-4	5	4	3-4	4	3	5	3	6	4	1	
3_1 # 7_4	2-3	2	2-4	2-3	2-3	1-4	2-3	2-3	2-3	1	3-4	2-4	2	
3_1* #7_4*	2-3	2	2-4	2-3	2	1-4	2-3	2-3	2-3	1-3	3	2-3	2-4	
3_1 # 7_4*	2-3	2	2-4	2-3	2	2-4	2-3	2-3	1	2-3	2-3	2-3	4-5	
3_1* # 7_4	2-3	3-4	2-4	4-5	3-4	2-4	3-4	2-3	4-5	2-3	5-6	3-4	2	
3_1 #7_5	3	2	3-4	2	2	3-4	2-3	3	1	3	2	2	5	
3_1* # 7_5*	3	4	3-4	5	4	3-4	4	3	5	3	6	4	2-3	
3_1 # 7_5*	2-3	2	2-4	3	2-3	2-4	2-3	1-3	3	1	4	2-4	2-3	
3_1* # 7_5	2-3	2	2-4	2	2	2-4	2-3	1-3	1-3	1-3	2	2	3-4	
3_1 # 7_6	2	1	2	1-2	2	2-3	1-2	2	1	2	2-3	1-2	4	
3_1* #7_6*	2	3	2	4	3	2-3	3	2	4	2	5	3	1-3	
3_1 #7_6*	2	1	2	2	1-2	2-3	2	2	2	1	3	2-3	2-3	
3_1* #7_6	2	1-2	2	2-3	1-2	2-3	2-3	2	2-3	1-2	3-4	2	2-3	
3_1 #7_7	2	1	2	2	2	1-3	2	2	1-2	1	2-3	2-3	3-4	
3_1* #7_7*	2	2	2	3	2-3	1-3	2-3	2	3	1-2	4	2-3	2-3	
3_1 #7_7*	2	1	2	2	2	1-3	2	2	1	1-2	2-3	2-3	3-4	
3_1* #7_7	2	2-3	2	3-4	2-3	1-3	2-3	2	3-4	1-2	4-5	2-3	2-3	
3_1 # 3_1 # 4_1	2-3	1-2	2	1-3	1-3	2-3	1-3	2-3	1	2-3	1-4	1-4	4-5	
3_1* # 3_1* # 4_1	2-3	3-4	2	4-5	3-4	2-3	3	2-3	4-5	2-3	5-6	3-4	1-4	
3_1 # 3_1* # 4_1	2-3	1-2	1-2	2-3	1-3	1-3	1-3	2-3	2-3	1	3-4	1-4	2-4	
4_1 # 6_1	2	2-3	1	2-4	2-3	1	1-2	2-3	2-4	1-4	3-5	1-3	2-4	
4_1 # 6_1*	2	2-3	1	2-4	2-3	1-2	1-2	2-3	2-4	1-4	3-5	1-3	2-4	
4_1 # 6_2	2	2	1	1-3	2-3	1-2	1	2-3	2-3	2-3	2-4	1-3	3-4	
4_1 # 6_2*	2	2-3	1	3-4	2-3	1-2	2	2-3	3-4	2-3	4-5	2-3	2-4	
4_1 # 6_3	2	2	1	2-3	1-3	2	2	1	2-3	2-3	3-4	2-3	2-4	
5_1 # 5_1	4	3	4-5	2	3	4-5	3-4	4	2	4	2-3	3-4	6	
5_1* # 5_1*	4	5	4-5	6	5	4-5	5	4	6	4	7	5	2-3	
5_1 # 5_1*	2-4	2-3	1-5	2	2-3	2-5	2-4	2-4	2-4	2	3	2-4	2-3	
5_1 # 5_2	3	2	3-4	1	2	3-4	2-3	3	2	3	2	2-3	5	
5_1* # 5_2*	3	4	3-4	5	4	3-4	4	3	5	3	6	4	2	
5_1 # 5_2*	2-3	2	1-4	1	2	1-4	1-3	2-3	2-3	2	2	1-3	3	
5_1* # 5_2	2-3	2-3	1-4	3	2	1-4	2-4	2-3	3-4	2-3	4	2-3	2	
5_2 # 5_2	2	2	2-3	2	1	2-3	2-3	2-3	2	2-3	1-3	2	4	
5_2* # 5_2*	2	3	2-3	4	3	2-3	3	2-3	4	2-3	5	3	2	
5_2 # 5_2*	2	2	2-3	2	1	2-3	2-3	2-3	2-3	2	3	2	2	
