K	3_1 # 5_1	3_1* # 5_1	3_1 # 5_2	3_1* # 5_2	4_1 # 4_1	9_1	9_2	9_3	9_4	9_5				
3_1* # 7_2*	5	3	4	2	2-4	6	3	1-3	4	1-2				
3_1 # 7_2*	3	2-3	2	1-3	2-4	4	2-3	3	2-4	2				
3_1* # 7_2	3-4	2	2-3	1	2-4	4	2	3-4	2	2-3				
3_1 # 7_3	4	2-4	3	1-4	2-5	5	2-4	2	3-5	2-3				
3_1* # 7_3*	2-3	1	1-3	1	2-5	3	1-3	4-5	1-2	2-4				
3_1 #7_3*	1	2-3	1	3	3-5	2-3	2-3	6	1-2	4-5				
3_1* # 7_3	6	4	5	3	3-5	7	4	1-2	5	2-3				
3_1 # 7_4	3-4	1-4	2-3	1-3	2-5	4-5	1-4	3	2-5	2				
3_1* #7_4*	3-4	1-2	2-3	1	2-5	4	1-4	3-5	2-3	2-4				
3_1 # 7_4*	1-2	1-4	1	2-3	2-5	2-4	1-4	5-6	1-3	3-5				
3_1* # 7_4	5-6	3-4	4-5	2-3	2-5	6-7	3-4	2-3	4-5	2				
3_1 #7_5	1	2-3	1	3	3-5	2-3	2-3	6	1-3	4-5				
3_1* # 7_5*	6	4	5	3	3-5	7	4	1-3	5	2-3				
3_1 # 7_5*	4	2-4	3	1-3	2-5	5	2-4	2-3	3-5	2-3				
3_1* # 7_5	2-3	1	1-3	1	2-5	3	1-3	4-5	1-3	2-4				
3_1 # 7_6	2	2-3	1	2-3	2-3	2-4	2-3	5	1-3	3-4				
3_1* #7_6*	5	3	4	2	2-3	6	3	1-4	4	1-3				
3_1 #7_6*	3	2-3	2	1-3	2-3	4	2-3	3-4	2-4	2-3				
3_1* #7_6	3-4	2	2-3	1	2-3	4-5	2-3	3-4	2-3	2-3				
3_1 #7_7	2-3	2-3	1-2	1-3	2-3	3-4	2-3	4-5	1-4	2-4				
3_1* #7_7*	4	2-3	3	1-2	2-3	5	2-3	2-4	3-4	2-3				
3_1 #7_7*	2	2-3	1-2	1-3	2-3	3-4	2-3	4-5	1-4	2-4				
3_1* #7_7	4-5	2-3	3-4	1-2	2-3	5-6	2-3	2-4	3-4	2-3				
3_1 # 3_1 # 4_1	1-2	1-4	1-2	2-4	2-3	2-5	1-4	5-6	1-5	3-5				
3_1* # 3_1* # 4_1	5-6	3-4	4-5	2-3	2-3	6-7	3-4	1-5	4-5	1-4				
3_1 # 3_1* # 4_1	3-4	1-4	2-3	1-3	1-3	4-5	1-4	3-5	2-5	1-4				
4_1 # 6_1	3-5	2-5	2-4	2-4	1	4-6	2-3	3-5	2-4	2-4				
4_1 # 6_1*	3-5	2-5	2-4	2-4	1	4-6	2-3	3-5	2-4	2-4				
4_1 # 6_2	2-4	1-4	1-3	2-4	1	3-5	1-3	4-5	1-4	2-4				
4_1 # 6_2*	4-5	2-4	3-4	2-3	1	5-6	2-3	2-5	3-4	2-4				
4_1 # 6_3	3-4	1-4	2-3	2-3	2	4-5	1-3	3-5	2-4	2-4				
5_1 # 5_1	1	3	2	4	4-6	2-4	3-5	7	2-4	5-6				
5_1* # 5_1*	7	5	6	4	4-6	8	5	2-4	6	3-4				
5_1 # 5_1*	3	1-3	2-4	2-4	1-6	4	1-5	3-4	2-4	2-4				
5_1 # 5_2	1-2	2	1	3	3-5	1-3	2-4	6	1-3	4-5				
5_1* # 5_2*	6	4	5	3	3-5	7	4	1-3	5	2-3				
5_1 # 5_2*	2	1-2	1-3	1-3	1-5	3	1-4	4	1-3	2-3				
5_1* # 5_2	4	2	3	1	1-5	5	2-4	2-3	3-4	2-3				
5_2 # 5_2	2	2-3	1	2	2-4	2-4	2-3	5	1-3	3-4				
5_2* # 5_2*	5	3-4	4	2-3	2-4	6	3	2-3	4	2				
5_2 # 5_2*	3	2-3	2	1-2	2-4	4	2-3	3	2-3	2				
