K	9_20	9_21	9_23	9_26	9_27	9_31	3_1 # 6_1	3_1* # 6_1	3_1 # 6_2	3_1* # 6_2				
3_1* # 7_2*	4	1-2	4	1-2	2-3	3	3-4	1-2	4	2				
3_1 # 7_2*	2	2-3	2-3	2-3	1-2	1-2	1-2	1-4	2	1-3				
3_1* # 7_2	2-3	2	2-3	2	1-3	1-3	1-4	1-2	2-4	1-2				
3_1 # 7_3	3	2-3	3-4	1-3	2-3	2-3	2-3	2-4	3	1-4				
3_1* # 7_3*	2-3	2-3	2-3	2-3	2-4	2-3	2-4	2-3	1-4	1-3				
3_1 #7_3*	2-3	4	2-3	4	3	2-3	2-3	4-5	1-3	3-4				
3_1* # 7_3	5	2-3	5	2-3	3-4	4	4-5	2-3	5	3				
3_1 # 7_4	2-3	2	2-4	2-3	2-3	2-3	2-3	2-3	2-3	2-3				
3_1* #7_4*	2-3	2-3	2-3	2-3	2-3	2-3	2-3	2-3	2-3	2-3				
3_1 # 7_4*	2-3	3-4	1-3	3-4	2-3	2-3	2-3	3-5	2	2-4				
3_1* # 7_4	4-5	2	4-5	2-3	2-4	3-4	3-5	2-3	4-5	2-3				
3_1 #7_5	2	4	2	4	3	2-3	2-3	4-5	1-2	3-4				
3_1* # 7_5*	5	2-3	5	2-3	3-4	4	4-5	2-3	5	3				
3_1 # 7_5*	3	1-3	3-4	1-3	1-3	2-3	2-3	2-3	3	1-3				
3_1* # 7_5	2	2-3	2	2-3	1-3	2-3	2-3	2-3	1-3	1-3				
3_1 # 7_6	2	3	2-3	3	2	2	1-2	3-4	1-2	2-3				
3_1* #7_6*	4	2	4	1-2	2-3	3	3-4	1-2	4	2				
3_1 #7_6*	2	1-2	2-3	2-3	1-2	1-2	1-2	1-3	2	1-3				
3_1* #7_6	2	1-2	2-3	2	1-2	1-3	1-3	1-2	2-3	1-2				
3_1 #7_7	2	2-3	1-3	2	2	2	1-2	2-3	1-2	1-3				
3_1* #7_7*	3	2	3-4	2	2-3	2-3	2-3	1-2	3	1-2				
3_1 #7_7*	2	2-3	1-3	2-3	2	2	1-2	2-4	1-2	1-3				
3_1* #7_7	3-4	2	3-4	2	2-3	2-3	2-4	1-2	3-4	1-2				
3_1 # 3_1 # 4_1	2-3	3-4	1-4	3-4	2-3	1-3	1-2	3-4	1-2	2-4				
3_1* # 3_1* # 4_1	4	1-3	4-5	1-3	2-3	3-4	3-4	1-2	4	2				
3_1 # 3_1* # 4_1	2-3	1-3	2-4	1-3	1-3	1-3	1-2	1-2	2	1-2				
4_1 # 6_1	2-3	2-3	2-4	2-3	1-2	1-4	2	2	2-3	2-3				
4_1 # 6_1*	2-3	2-3	2-4	2-3	1-2	1-4	2-3	2-3	2-3	2-3				
4_1 # 6_2	1-2	2-3	1-4	2-3	1-2	1-3	2-3	2-3	2	2				
4_1 # 6_2*	3	2-3	3-4	2	1-2	2-4	2-3	2-3	3	2-3				
4_1 # 6_3	2-3	2-3	2-4	1-3	2	2	2-3	2-3	2-3	1-3				
5_1 # 5_1	2-4	5	2-3	5	4	3	3-4	5-6	2-3	4-5				
5_1* # 5_1*	6	3-4	6	3	4-5	5	5-6	3-4	6	4				
5_1 # 5_1*	2-4	2-4	2-3	2-3	2-4	1-3	2-4	2-4	2-4	2-4				
5_1 # 5_2	1-3	4	1-2	4	3	2	2-3	4-5	2-3	3-4				
5_1* # 5_2*	5	2-3	5	2	3-4	4	4-5	2-3	5	3				
5_1 # 5_2*	1-3	2-3	1-2	2-3	2-3	1-2	2-3	2-4	2-3	2-4				
5_1* # 5_2	3	2-3	3	2	2-4	2-3	2-4	2-3	3-4	2-3				
5_2 # 5_2	2	3	2	3	2-3	2	2-3	3-4	2-3	2-4				
5_2* # 5_2*	4	2	4	2	2-3	3-4	3-4	2-3	4	2-3				
5_2 # 5_2*	2	2	2	2	1-3	2	2-3	2-3	2-3	2-3				
