K	10_26	10_27	10_28	10_29	10_30	10_31	10_32	10_33	10_34	10_35	10_36			
3_1* # 7_2*	2-3	1-2	2-3	3-4	3	2-3	2-3	2-3	2	2-4	3-4			
3_1 # 7_2*	2-3	2-3	2-3	2-3	1-3	1-2	1-2	2-3	1-2	1-4	2			
3_1* # 7_2	2-3	2	2-3	2-4	1-3	1-3	1-3	2-3	1-3	1-4	2			
3_1 # 7_3	2-4	1-4	2-3	2-4	2-4	1-3	2-3	1-4	2-3	2-5	2-3			
3_1* # 7_3*	2-4	2-3	2-4	2-5	1-3	1-4	2-4	1-4	2-4	2-5	2-3			
3_1 #7_3*	3-4	4	3-4	2-4	2-3	3	3	3-4	3	3-5	2-3			
3_1* # 7_3	3-4	2-3	3	4-5	4	3	3-4	3-4	3	3-5	4-5			
3_1 # 7_4	2-4	2-3	2	2-4	2-4	2-3	1-3	2-4	2-3	2-5	1-3			
3_1* #7_4*	2-4	2-3	2-4	2-4	2	2-3	1-3	2-4	2-3	2-5	1-3			
3_1 # 7_4*	2-4	3-4	2-4	2-4	2	2-3	2-3	2-4	2-3	2-5	1-3			
3_1* # 7_4	2-4	2-3	2	3-5	3-4	2-3	2-4	2-4	2-3	2-5	3-5			
3_1 #7_5	3-4	4	3-4	2-4	2-3	3	3	3-4	3	3-5	2-3			
3_1* # 7_5*	3-4	2	3	4-5	4	3	3-4	3-4	3	3-5	4-5			
3_1 # 7_5*	2-4	2	2-3	2-4	2-4	2-3	1-3	2-4	2-3	1-5	2-3			
3_1* # 7_5	2-4	2-3	2-4	2-4	1-3	2-3	1-3	2-4	2-3	1-5	1-3			
3_1 # 7_6	2-3	3	2-3	2-3	1-3	2	2	2-3	2	2-3	1-2			
3_1* #7_6*	2-3	2	2-3	3-4	3	2-3	2-3	2-3	2-3	2-3	3			
3_1 #7_6*	1-3	1-3	1-3	2-3	2-3	1-2	1-2	2-3	2	1-3	1-2			
3_1* #7_6	1-3	1-2	1-3	2-4	2-3	1-3	1-3	2-3	2-3	1-3	1-3			
3_1 #7_7	2-3	2-3	2-3	1-3	2-3	1-2	1-2	2-3	2	2-3	1-2			
3_1* #7_7*	2-3	2	2-3	2-4	2-3	1-3	1-3	2-3	2-3	2-3	2-3			
3_1 #7_7*	2-3	2-3	2-3	1-3	2-3	1-2	1-2	2-3	2	2-3	1-2			
3_1* #7_7	2-3	2	2-3	2-4	2-3	1-3	1-3	2-3	2-3	2-3	2-3			
3_1 # 3_1 # 4_1	2-3	3-4	2-4	1-4	1-4	2-3	2-3	2-4	2-3	2-3	1-3			
3_1* # 3_1* # 4_1	2-3	1-3	2-4	3-4	3-4	2-4	2-4	2-4	2-4	2-3	3			
3_1 # 3_1* # 4_1	1-3	1-3	2-4	1-4	1-4	1-3	1-3	2-4	2-3	1-3	1-3			
4_1 # 6_1	1-2	1-3	2-3	2	2-3	2-3	2-3	2	2-4	1-2	2			
4_1 # 6_1*	1-2	1-3	2-3	2-3	2-3	2-3	2-3	2	2-4	1-2	2			
4_1 # 6_2	2	2-3	2-3	2	2	2-3	1-3	1-3	2-3	1-2	2			
4_1 # 6_2*	2	1-2	2-3	2-3	2-3	2-3	1-2	1-3	2-4	1-2	2			
4_1 # 6_3	2	2-3	2	1-3	1-3	1-3	2	1-3	1-3	2	2			
5_1 # 5_1	4-5	5	4-5	3-5	3-4	4	4	4-5	4	4-6	3-4			
5_1* # 5_1*	4-5	3-4	4	5-6	5	4	4-5	4-5	4	4-6	5-6			
5_1 # 5_1*	2-5	2-4	2-4	2-5	2-4	2-4	2-4	1-5	2-4	2-6	2-4			
5_1 # 5_2	3-4	4	3-4	2-4	2-3	3	3	3-4	3	3-5	2-3			
5_1* # 5_2*	3-4	2-3	3	4-5	4	3	3-4	3-4	3	3-5	4-5			
5_1 # 5_2*	2-4	2-4	2-3	2-4	2-3	2-3	2-3	1-4	2-3	2-5	2-3			
5_1* # 5_2	2-4	1-3	2-3	2-5	2-3	2-3	2-4	1-4	2-3	2-5	2-3			
5_2 # 5_2	2-3	3	2-4	1-4	2	2-3	2-3	2-3	2-3	2-4	2			
5_2* # 5_2*	2-3	2-3	2	3-4	3	2	2-3	2-3	2	2-4	3-4			
5_2 # 5_2*	2-3	2-3	2	1-4	2	2	2-3	2-3	2	1-4	2			
