K	3_1* # 7_1	3_1 # 7_2	3_1* # 7_2	3_1 # 7_3	3_1* # 7_3	3_1 # 7_4	3_1* # 7_4							
3_1* # 7_2*	4	4	2	1-3	1	2-3	2							
3_1 # 7_2*	2-4	2	1-4	1	3	2	2-4							
3_1* # 7_2	2	2	0	1-4	3	2-3	2-3							
3_1 # 7_3	3-5	3	1-4	0	2	1	1-3							
3_1* # 7_3*	1	1-3	1	2-5	4	1-4	3-4							
3_1 #7_3*	1-3	1	3	4	6	3-4	5-6							
3_1* # 7_3	5	5	3	2	0	3	1							
3_1 # 7_4	2-5	2-3	2-3	1	3	0	2							
3_1* #7_4*	2	2-3	2	1-4	3-4	1-4	2-4							
3_1 # 7_4*	1-4	2	2-4	3-4	5-6	2-4	4-6							
3_1* # 7_4	4-5	4-5	2-3	1-3	1	2	0							
3_1 #7_5	1-3	1	3	4	6	3-4	5-6							
3_1* # 7_5*	5	5	3	2-4	2	3-4	2							
3_1 # 7_5*	3-5	3	1-3	2	2-4	2	2-4							
3_1* # 7_5	1	1-3	1	2-4	4	2-4	3-4							
3_1 # 7_6	1-4	1	2-3	3	5	2-3	4-5							
3_1* #7_6*	4	4	2	1-4	1-2	2-3	2							
3_1 #7_6*	2-4	2	1-3	1-2	3-4	2	2-4							
3_1* #7_6	2-3	2-3	1	1-4	3	2-3	2-3							
3_1 #7_7	1-4	1-2	1-3	2-3	4	2	3-4							
3_1* #7_7*	3-4	3	1-2	1-4	2-3	2-3	2-3							
3_1 #7_7*	1-4	1-2	1-4	2-3	4-5	2-3	3-5							
3_1* #7_7	3-4	3-4	1-2	1-4	2-3	2-3	2							
3_1 # 3_1 # 4_1	1-5	1-3	2-5	3-4	5-6	2-4	4-6							
3_1* # 3_1* # 4_1	4-5	4-5	2-3	1-5	1-3	2-4	1-2							
3_1 # 3_1* # 4_1	2-5	2-3	1-3	1-3	3-4	1-2	2-4							
4_1 # 6_1	2-6	2-4	2-4	2-5	3-5	1-5	2-5							
4_1 # 6_1*	2-6	2-4	2-4	2-5	3-5	1-5	2-5							
4_1 # 6_2	1-5	2-3	2-4	2-4	4-5	2-4	3-5							
4_1 # 6_2*	3-5	3-4	2-3	2-5	2-4	2-4	2-4							
4_1 # 6_3	2-5	2-3	1-3	2-4	3-4	2-4	2-4							
5_1 # 5_1	2-4	2-3	4-5	5	7	4-5	6-7							
5_1* # 5_1*	6	6	4	3-4	2	4-5	2-3							
5_1 # 5_1*	2-4	2-4	2-4	2	3-4	2-3	2-5							
5_1 # 5_2	1-3	2	3-4	4	6	3-4	5-6							
5_1* # 5_2*	5	5	3	2-3	2	3-4	2							
5_1 # 5_2*	1-3	2-3	2-4	2	4	2	3-4							
5_1* # 5_2	3	3-4	2	2-3	2-3	2-4	2-4							
5_2 # 5_2	1-4	2	2-3	3-4	5	2-4	4-5							
5_2* # 5_2*	4-5	4	2-3	2-3	2	2-3	2							
5_2 # 5_2*	2-4	2-3	2-3	2	3	2	2-3							
