K	3_1 # 3_1* # 4_1	4_1 # 6_1	4_1 # 6_2	4_1 # 6_3	5_1 # 5_1	5_1 # 5_1*	5_1 # 5_2							
3_1* # 7_2*	2-3	2-4	3-4	2-3	6	2-4	5							
3_1 # 7_2*	1-3	2-4	2-3	1-3	4	2-3	3							
3_1* # 7_2	1-3	2-4	2-4	1-3	4-5	2-4	3-4							
3_1 # 7_3	1-3	2-5	2-4	2-4	5	2	4							
3_1* # 7_3*	1-4	2-5	2-5	2-4	3-4	2-4	2-3							
3_1 #7_3*	3-4	3-5	2-4	3-4	2	3-4	2							
3_1* # 7_3	3-4	3-5	4-5	3-4	7	3-4	6							
3_1 # 7_4	1-2	1-5	2-4	2-4	4-5	2-3	3-4							
3_1* #7_4*	1-4	1-5	2-4	2-4	4-5	2-5	3-4							
3_1 # 7_4*	2-4	2-5	2-4	2-4	2-3	2-5	2							
3_1* # 7_4	2-4	2-5	3-5	2-4	6-7	2-5	5-6							
3_1 #7_5	3-4	3-5	2-4	3-4	2	3-4	1-2							
3_1* # 7_5*	3-4	3-5	4-5	3-4	7	3-4	6							
3_1 # 7_5*	2	2-5	2-4	2-4	5	2	4							
3_1* # 7_5	2-4	2-5	1-4	2-4	3-4	2-4	2-3							
3_1 # 7_6	2	2-3	2-3	2-3	2-3	2-4	2							
3_1* #7_6*	2	2-3	3	2-3	6	2-4	5							
3_1 #7_6*	1-2	2-3	2-3	1-3	4	2-3	3							
3_1* #7_6	1-2	2-3	2-3	1-3	4-5	2-4	3-4							
3_1 #7_7	1-2	2-3	2-3	2-3	3-4	2-3	2-3							
3_1* #7_7*	1-2	2-3	2-3	2-3	5	2-4	4							
3_1 #7_7*	1-2	2-3	2-3	2-3	3	2-4	2-3							
3_1* #7_7	1-2	2-3	2-3	2-3	5-6	2-4	4-5							
3_1 # 3_1 # 4_1	2	2-3	1-3	2-3	2-3	2-5	1-3							
3_1* # 3_1* # 4_1	2	2-3	3	2-3	6-7	2-5	5-6							
3_1 # 3_1* # 4_1	0	1-3	1-3	1-3	4-5	1-3	3-4							
4_1 # 6_1	1-3	0	1	1-2	4-6	1-6	3-5							
4_1 # 6_1*	1-3	1	1-2	1-2	4-6	1-6	3-5							
4_1 # 6_2	1-3	1	0	2	3-5	1-5	2-4							
4_1 # 6_2*	1-3	1-2	2	2	5-6	1-5	4-5							
4_1 # 6_3	1-3	1-2	2	0	4-5	2-5	3-4							
5_1 # 5_1	4-5	4-6	3-5	4-5	0	4	1							
5_1* # 5_1*	4-5	4-6	5-6	4-5	8	4	7							
5_1 # 5_1*	1-3	1-6	1-5	2-5	4	0	3							
5_1 # 5_2	3-4	3-5	2-4	3-4	1	3	0							
5_1* # 5_2*	3-4	3-5	4-5	3-4	7	3	6							
5_1 # 5_2*	1-3	1-5	1-4	2-4	3	1	2							
5_1* # 5_2	1-4	1-5	2-5	2-4	5	1-3	4							
5_2 # 5_2	2-4	2-4	2-4	2-4	2	2-4	1							
5_2* # 5_2*	2-4	2-4	3-4	2-4	6	2-4	5							
5_2 # 5_2*	2-3	2-4	2-4	2-4	4	2	3							
