K	3_1 # 5_2	3_1* # 5_2	4_1 # 4_1	9_1	9_2	9_3	9_4	9_5	9_6	9_7	9_8	9_9	9_10
8_10	3	1-3	2-4	5	2-3	2-3	3-4	1-2	4	3	2-3	4	1-3
8_10*	1-2	1-2	2-4	3	2-3	4-5	1-3	2-4	2	1-3	1-3	2-3	3-4
8_11*	2	2	2-3	3-4	2	4	2-3	2-3	2-3	2-3	2-3	2-3	3-4
8_12	3	2-3	2-3	5	2	2-3	3	2	4	3	2	4	2-3
8_12*	2-4	2-4	2	4-6	2-3	3-5	2-4	2-4	3-5	2-4	2	3-5	2-5
8_13	2	2	2	4	2	3-4	2-3	2-3	3	2-3	2	3	2-4
8_13*	2-3	2-3	2	4-5	2	3	2-3	2	3-4	2-3	2	3-4	2-3
8_14	1-2	2	2	3-4	2	4	2-3	2-3	2-3	2	2	2-3	3-4
8_14*	3	2	2	5	2	2-3	3	2	4	3	2	4	2-3
8_15	1-2	2	2-4	2-3	2-3	5	1-3	3-4	2	2-3	1-3	1-3	4-5
8_15*	4	2-3	2-4	6	3	1-3	4	1-2	5	4	3-4	5	1-3
8_16	1-2	1-2	1-2	3-4	1-3	4-5	1-3	2-4	2-3	2	1-2	2-3	3-4
8_16*	3	1-2	1-2	5	2-3	2-3	3-4	1-2	4	3	2	4	2-3
8_17	2	1-2	2-3	4	2	3-4	2-3	1-3	3	2	1-2	3	2-3
8_17*	2	1-2	2-3	4	2	3-4	2-3	1-3	3	2	1-2	3	2-3
8_18	2	1-2	1-4	4	1-3	3-4	2-4	1-3	3	2	1-2	3	2-3
8_18*	2	1-2	1-4	4	1-3	3-4	2-4	1-3	3	2	1-2	3	2-3
8_19	5	3	3-5	7	4	1-3	5	2-3	6	5	4-5	6	1-3
8_19*	1-2	3	3-5	2-3	2-4	6	1-3	4-5	2	1-3	2-3	1-3	5-6
8_20	2	1-2	2-3	4	1-2	3-4	2-3	1-3	3	2-3	1-3	3	2-4
8_20*	2-3	1-3	2-3	4-5	1-2	3	2-3	1-2	3-4	2-3	1-3	3-4	2-3
8_21	1-2	1-3	1-3	3-5	1-2	4	1-3	2-3	2-4	1-3	1-3	2-4	3-4
8_21*	3	1-3	1-3	5	2	2-4	3	1-3	4	3	2-3	4	1-4
3_1 # 5_1	1	3	3-5	2-3	2-4	6	1-3	4-5	2	1-3	2-3	1-3	5-6
3_1* # 5_1*	5	3	3-5	7	4	1-3	5	2-3	6	5	4-5	6	2-3
3_1 # 5_1*	3	1-3	1-5	5	2-4	2-3	3-5	2-3	4	3	2-3	4	2-3
3_1* # 5_1	1-3	1	1-5	3	1-4	4-5	1-3	2-4	2	1-3	1-3	2-3	3-4
3_1 # 5_2	0	2	2-4	2-4	1-3	5	1-3	3-4	2-3	1-2	1-2	1-3	4-5
3_1* # 5_2*	4	2	2-4	6	3	1-3	4	1-2	5	4	3-4	5	1-3
3_1 # 5_2*	2	1-3	2-4	4	1-3	3	2-4	2	3	2	2	3	2-3
3_1* # 5_2	2	0	2-4	4	1-3	3-4	2-3	2-3	3	2-3	2-3	3	2-3
4_1 # 4_1	2-4	2-4	0	4-6	1-3	3-5	2-4	2-4	3-5	2-4	2	3-5	2-5
9_1	2-4	4	4-6	0	3	7	2	5-6	1	2	3-4	1	6-7
9_1*	6	4	4-6	8	5	1	6	3	7	6	5-6	7	2
9_2	1-3	1-3	1-3	3	0	4	1	2-3	2	1	2	2	3-4
9_2*	3	1-3	1-3	5	2	2	3	2	4	3	2-3	4	2-3
9_3	5	3-4	3-5	7	4	0	5	2	6	5	4-5	6	1
9_3*	1-3	3	3-5	1	2	6	1	4-5	2	2-3	2-4	2	5-6
9_4	1-3	2-3	2-4	2	1	5	0	3-4	2-3	2	2-3	1	4-5
9_4*	4	2-4	2-4	6	3	1	4	1	5	4	3-4	5	2
9_5	3-4	2-3	2-4	5-6	2-3	2	3-4	0	4-5	3-4	2-4	4-5	1
9_5*	1-2	2	2-4	3	2	4-5	1	2-4	2-3	2	2-3	2	3-5
9_6	2-3	3	3-5	1	2	6	2-3	4-5	0	1	2-3	2	5-6
9_6*	5	3	3-5	7	4	2	5	2-3	6	5	4-5	6	2-3
9_7	1-2	2-3	2-4	2	1	5	2	3-4	1	0	2	1	4-5
9_7*	4	2	2-4	6	3	2-3	4	2	5	4	3-4	5	2-3
9_8	1-2	2-3	2	3-4	2	4-5	2-3	2-4	2-3	2	0	2-3	3-5
