K	0_1	3_1	4_1	5_1	5_2	6_1	6_2	6_3	3_1 # 3_1	3_1 # 3_1*	7_1	7_2	7_3
9_8*	2	2-3	1	3-4	2-3	1	2	2	3-4	2	4-5	2-3	2-3
9_9	3	2	3-4	2	2	3-4	2-3	3	2-3	3	1	2	5
9_9*	3	4	3-4	5	4	3-4	4	3	5	3	6	4	1
9_10	2-3	3-4	2-4	4-5	3-4	2-4	3-4	2-3	4-5	2-3	5-6	3-4	1
9_10*	2-3	2	2-4	2	2	2-4	2-3	2-3	1-3	2-3	2	2	4-5
9_11	2	3	2	4	3	2-3	3	2-3	4	2-3	5	3	1
9_11*	2	2	2	1	1	2-3	2-3	2-3	1-3	2-3	2	2	4
9_12	1	2	2	2-3	2	1	2	2	2-3	2-3	2-3	1	3
9_12*	1	2	2	3	2	2	2	2	3	2-3	4	2	2
9_13	2-3	3-4	2-4	4-5	3-4	2-4	3-4	2-3	4-5	2-3	5-6	3-4	1
9_13*	2-3	2	2-4	1	2	2-4	2-3	2-3	2-3	2-3	2	2	4-5
9_14	1	2	2	2-3	2	2	2	2	2-3	2	3-4	2	2
9_14*	1	1	2	2	1	1	2	2	2	2	3	2	2-3
9_15	2	2-3	1	3-4	2-3	2	2	2-3	3-4	2-3	4-5	2-3	2
9_15*	2	2	1	2	1	2	2	2-3	2-3	2-3	2-3	1	3-4
9_17	2	2	1	2-3	2-3	2	1	2-3	2-3	2-3	2-4	2-3	3-4
9_17*	2	2	1	3	2-3	2	2	2-3	3	2-3	4	2-3	2-4
9_18	2	2	2-3	2	1	2-3	2-3	2-3	2-3	2-3	2	1	4
9_18*	2	3	2-3	4	3	2-3	3	2-3	4	2-3	5	3	1
9_19	1	2	1	2-3	2	1	2	2	2-3	2-3	3-4	2	2-3
9_19*	1	2	1	2-3	2	2	2	2	2-3	2-3	3-4	2	2-3
9_20	2	1	2	2	1	2	1	2	2	2	2	2	4
9_20*	2	3	2	4	3	2-3	3	2	4	2	5	3	2
9_21	1	2	2	3	2	2	2	2	3	2	4	2	2
9_21*	1	1	2	2	1	2	2	2	2	2	2-3	2	3
9_23	2	2	2-3	1	1	2-3	2-3	2-3	2-3	2-3	2	2	4
9_23*	2	3	2-3	4	3	2-3	3	2-3	4	2-3	5	3	2
9_26	1	2	2	3	2	2	2	2	3	2	4	2	2
9_26*	1	1	2	1	1	2	1	2	2	2	2	2	3
9_27	1	1	1	2	2	2	2	1	2	2	3	2	2-3
9_27*	1	2	1	2-3	2	2	1	1	2-3	2	3-4	2	2-3
9_31	2	1	2-3	1	1	2-3	2	1	2	2	2	2	3-4
9_31*	2	2	2-3	3	2-3	2-3	2-3	1	3	2	4	2-3	2
3_1 # 6_1	2	1	2	2	2	1	2	2	1-2	1-2	2-3	2-3	3-4
3_1* # 6_1*	2	2-3	2	3-4	2-3	1-2	2-3	2	3-4	1-2	4-5	2-3	2-3
3_1 # 6_1*	2	1	2	2	2	1-2	2	2	1-2	1-2	2-3	2-3	3-4
3_1* # 6_1	2	2-3	2	3-4	2-3	1	2	2	3-4	1-2	4-5	2-3	2-3
3_1 # 6_2	2	1	2	1-2	1-2	2	1	2	1	2	1-3	1-3	4
3_1* # 6_2*	2	3	2	4	3	2-3	3	2	4	2	5	3	1-3
3_1 # 6_2*	2	1	2	2	2	2-3	1-2	2	2	1	3	1-3	2-4
3_1* # 6_2	2	1-2	2	2-3	2-3	2	1	2	2-3	1-2	3-4	1-3	2-3
3_1 # 6_3	2	1	2-3	2	2	2-3	2	1	1	1	2-3	2-3	3-4
3_1* # 6_3	2	2	2-3	3	2-3	2-3	2-3	1	3	1-2	4	2-3	1-3
3_1 # 3_1 # 3_1	3	2	3-4	2-3	2-3	3-4	2-3	3	1	3	2-4	2-4	5
3_1* # 3_1* # 3_1*	3	4	3-4	5	4	3-4	4	3	5	3	6	4	2-4
3_1 # 3_1* # 3_1*	2-3	2	2-4	3	2-3	2-4	2-3	2-3	3	1	4	2-4	2-4
3_1 # 3_1 # 3_1*	2-3	2	2-4	2-3	2-3	2-4	2-3	2-3	1	1	2-4	2-4	3-4
