K		7_4	7_5	7_6	7_7	3_1 # 4_1	8_1	8_2	8_3	8_4	8_5	8_6	8_7	8_8	8_9
9_8*		2	3-4	2	2	2	2	3	2	2	1-3	2	2	2	2-3
9_9		4-5	1	2-3	3-4	2-3	3-4	2-3	3-5	2-4	5	2-3	4	3	3-4
9_9*		2	5	4	3	4-5	3-4	5	3-5	4-5	1-4	4-5	2-3	3	3-4
9_10		1	4-5	3-4	2-3	3-5	2-4	4-5	2-5	3-5	1-4	3-5	2-3	2-3	2-4
9_10*		3-5	2-3	2-3	2-4	1-3	2-4	2-3	2-5	2-4	4-5	2-3	3-4	2-3	2-4
9_11		2	4	3	2-3	3	2-3	4	2-4	3	1-4	3-4	2	2	2-3
9_11*		3-4	2	1	2-3	1-3	2-3	2	2-4	2-3	4	2-3	3	2-3	2-3
9_12		2-3	2	1	2	1-3	2	2-3	2	2-3	3	2	2	2-3	2
9_12*		2-3	3	2	2	2-3	2	3	2	2	1-3	2-3	2	2-3	2
9_13		1	4-5	3-4	2-3	3-5	2-4	4-5	2-5	3-5	2-4	3-5	2	2-3	2-4
9_13*		3-5	1	2-3	2-4	1-3	2-4	2	2-5	2-4	4-5	2-3	3-4	2-3	2-4
9_14		2	2-3	2	1	2-3	2	2-3	2	2	2-3	2-3	2	2	2
9_14*		2-3	2	2	2	2	2	2	2	2-3	2-3	2	2	2	2
9_15		2	3-4	2	2	2	2-3	3	2-3	2	1-3	2-3	2-3	2	2-3
9_15*		2-4	2	1	2	2	2-3	2-3	2-3	2	3	2-3	2-3	2-3	2-3
9_17		2-3	2-3	2	1	2	2-3	2	2-3	2	3	2	2-3	2-3	2
9_17*		2-3	3	2	2	2	2-3	3	2-3	2	1-2	2-3	2-3	2-3	2
9_18		3-4	1	2	2-3	2-3	2-3	2-3	2-4	2-4	4	2-3	3	2-3	2-3
9_18*		2	4	3	2-3	3-4	2-3	4	2-4	3-4	2-4	3-4	2-3	2	2-3
9_19		2-3	2-3	2	1	2	2	2-3	2	2	2-3	2	2	2-3	2
9_19*		2-3	2-3	2	2	2	2	2-3	2	2	2-3	2-3	2	2-3	2
9_20		3-4	1	1	2-3	2	2-3	2	2-3	2	4	2	3	2	2
9_20*		2	4	3	2	3	2-3	4	2-3	3	2	3-4	2	2	2
9_21		1	3	2	2	2-3	2	3	2-3	2-3	1-3	2-3	2	2	2
9_21*		2-3	2	1	2	1-2	2	2	2-3	2-3	3	2	2	2	2
9_23		3-4	1	2	2-3	2-3	2-3	2	2-4	2-4	4	2-3	3	2-3	2-3
9_23*		2	4	3	2-3	3-4	2-3	4	2-4	3-4	2-4	3-4	2	2	2-3
9_26		2	3	2	1	2-3	2	3	2-3	2-3	1-2	2-3	2	2	2
9_26*		2-3	2	2	2	1-2	2	2	2-3	2	3	2	2	2	2
9_27		2-3	2	1	2	2	2	2	2-3	2	2	2	2	2	2
9_27*		2	2-3	2	2	2	2	2	2-3	2	2-3	2	2	2	2
9_31		2-3	2	2	2-3	1-2	2-3	2	2-4	2-3	3-4	2	2	2	2-3
9_31*		2	3	2-3	2	2-3	2-3	3	2-4	2-4	2-3	2-3	2	2	2-3
3_1 # 6_1		2-4	2	2	1-3	1	2	2	2	2-3	3-4	2	2-3	2	2-3
3_1* # 6_1*		1-2	3-4	2-3	1-2	2-3	2-3	3-4	2	2	1-3	2-3	2	2	2-3
3_1 # 6_1*		2-4	2	2	1-3	1	2-3	2	2	2	3	2	2-3	2	2-3
3_1* # 6_1		1-2	3-4	2-3	1-2	2-3	2	3	2	2-3	1-3	2	2	2	2-3
3_1 # 6_2		3-4	2	1-2	2-3	1	2-3	2	2-3	1-2	4	1-2	3	2	2
3_1* # 6_2*		1-2	4	3	2	3	2-3	4	2-3	3	1-2	3-4	1-2	2	2
3_1 # 6_2*		1-3	2	2	1-3	1	2-3	2	1-3	2-3	2	2	2-3	1-2	2
3_1* # 6_2		1-2	2-3	2-3	1-2	1-3	2-3	2	1-3	2	2-3	2	2	1-2	2
3_1 # 6_3		2-3	1-2	2	2-3	2	1-3	1-2	2-4	2-3	3-4	1-2	2	2	1-3
3_1* # 6_3		2	3	2-3	2	2-3	1-3	3	2-4	2-4	2	2-3	1-2	2	1-3
3_1 # 3_1 # 3_1		4-5	2-3	2-3	3-4	2-3	3-4	2-3	3-5	2-4	5	2-3	4	3	3-4
3_1* # 3_1* # 3_1*		2-3	5	4	3	4-5	3-4	5	3-5	4-5	1-2	4-5	2-3	3	3-4
3_1 # 3_1* # 3_1*		2-3	3	2-3	2-3	2-3	2-4	3	2-5	2-4	1-2	2-3	2-3	2-3	2-4
3_1 # 3_1 # 3_1*		2-3	2-3	2-3	2-3	1-3	2-4	2-3	2-5	2-4	3-4	2-3	2-3	2-3	2-4
