K	8_10	8_11	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21
9_8*	1-3	2	2	2	2	3-4	2	1-2	1-2	2-3	1-3	2-3
9_9	4	2-3	3-5	3	2-3	1-3	2-3	3	3	6	3	2-4
9_9*	2-3	4	3-5	3-4	4	5	4	3	3	1-3	3-4	4
9_10	1-3	3-4	2-5	2-4	3-4	4-5	3-4	2-3	2-3	1-3	2-4	3-4
9_10*	3-4	2-3	2-5	2-3	2-3	1-3	2-3	2-3	2-3	5-6	2-3	1-4
9_11	1-2	3	2-3	2-3	3	4	3	2-3	2-3	1-2	2-3	3
9_11*	3-4	2	2-3	2	2	1-2	2	2-3	2-3	5	2	1-3
9_12	2-3	2	2	2	2	2-3	1-3	2	1-3	4	1-2	1-2
9_12*	2-3	2	2	2	2	3	2-3	2	1-3	2-4	1-2	2
9_13	2	3-4	2-5	2-4	3-4	4-5	3-4	2-3	2-3	2	2-4	3-4
9_13*	3-4	2-3	2-5	2-3	2-3	2	1-3	2-3	2-3	5-6	2-3	1-4
9_14	1-2	2	2	2	2	2-3	2-3	1-2	2	3	1-2	2
9_14*	1-3	2	2	2	2	2	2	1-2	2	3-4	1-2	2
9_15	2	2-3	2	2	2	3-4	2	1-3	1-3	2-3	2-3	2-3
9_15*	2-4	2	2	2	2	1-2	2	1-3	1-3	4-5	2	1-3
9_17	2-4	2	2	2	2	1-4	2	1-3	1-3	4	2-3	1-2
9_17*	2-4	2-3	2	2	2	3-4	2	1-2	1-3	2-4	2-3	2-3
9_18	3-4	2	2-4	2	2	2	1-2	2-3	2-3	5	2	1-3
9_18*	1-2	3	2-4	2-3	3	4	3-4	2-3	2-3	1-3	2-3	3
9_19	2-3	2	2	2	2	2-3	2	1-2	1-3	3-4	1-2	2
9_19*	2-3	2	2	2	2	2-3	2	1-2	1-3	3-4	1-2	2
9_20	3	2	2-3	2	2	2	1-2	2	2	5	2	1-2
9_20*	1-2	3	2-3	2-3	3	4	3	2	2	1-3	2-3	3
9_21	1-2	2	2-3	2	2	3	2-3	1-2	1-2	2-3	1-2	2
9_21*	2-3	2	2-3	2	2	1-2	1-2	1-2	1-2	4	1-2	1-2
9_23	3-4	2	2-4	2	2	2	1-2	2-3	2-3	5	2	2-3
9_23*	1-2	3	2-4	2-3	3	4	3-4	2-3	2-3	2	2-3	3
9_26	1-2	2	2-3	2	2	3	2-3	1-2	1-2	2	1-2	2
9_26*	2-3	2	2-3	2	2	1-2	1-2	1-2	1-2	4	1-2	1-2
9_27	1-2	2	2	2	2	2-3	2	1-2	1-2	3-4	1-2	1-2
9_27*	1-2	2	2	2	2	2-3	2	1-2	1-2	3	1-2	1-2
9_31	2	2	2-4	2	2	1-2	1-2	1-2	1-2	4	2	1-3
9_31*	1-2	2-3	2-4	2	2-3	3-4	2	1-2	1-2	2	2	2-3
3_1 # 6_1	2-3	1-2	2	2-3	2	1-3	2	2	1-2	4-5	1-3	1-3
3_1* # 6_1*	1-3	2-3	2	2-3	2-3	3-4	2-3	2	1-2	2-3	1-3	2-3
3_1 # 6_1*	2-3	1-3	2	2-3	2	1-3	2	2	1-2	4-5	1-3	1-3
3_1* # 6_1	1-3	2	2	2-3	2-3	3-4	2-3	2	1-2	2-3	1-3	2-3
3_1 # 6_2	3	2	2-3	2-3	2	1-2	2	2	2	5	2-3	1-2
3_1* # 6_2*	1-3	3	2-3	2-3	3	4	3	2	2	1-2	2-3	3
3_1 # 6_2*	1-2	2-3	1-3	1-3	1-2	2-3	1-2	1-2	1-2	3-4	1-2	1-3
3_1* # 6_2	1-3	2	1-3	1-3	1-2	2-4	1-3	1-2	1-2	3	1-3	1-2
3_1 # 6_3	2	2-3	2-4	2	2	2	1-2	2	2	4	1-2	2
3_1* # 6_3	1-2	2-3	2-4	2	2-3	3-4	2	2	2	2	1-2	2-3
3_1 # 3_1 # 3_1	4	2-4	3-5	3-4	2-3	1-2	2-3	3	3	6	3-4	2
3_1* # 3_1* # 3_1*	2-4	4	3-5	3-4	4	5	4	3	3	1-2	3-4	4
3_1 # 3_1* # 3_1*	1-2	2-4	2-5	2-4	2-3	3-4	2-3	1-3	1-3	2	1-2	2-4
3_1 # 3_1 # 3_1*	2	2-4	2-5	2-4	2-3	1-2	1-3	1-3	1-3	4	1-2	1-2
