n	0.1	3.1	4.1	5.1	5.2	3.1c3.1	3.1c3.1m	total							
3	0.9904	0.0096	0	0	0	0	0	20000							
4	0.96575	0.0326	0.00165	0	0	0	0	20000							
5	0.9375	0.057	0.0053	0	0.0002	0	0	20000							
6	0.908	0.07935	0.0104	0.00015	0.0019	0	0.0001	20000							
7	0.8739	0.1036	0.0173	0.0011	0.0028	0.00015	0.00025	20000							
8	0.83865	0.1282	0.0239	0.00165	0.0048	0.0005	0.0005	20000							
9	0.8069	0.146	0.03085	0.0031	0.00795	0.0009	0.0006	20000							
10	0.7732	0.1665	0.03545	0.0039	0.0107	0.002	0.0016	20000							
11	0.741	0.17925	0.04235	0.00645	0.01565	0.0028	0.00235	20000							
12	0.71315	0.19135	0.04745	0.00635	0.0179	0.00365	0.00365	20000							
13	0.68335	0.20435	0.05335	0.00825	0.01845	0.0038	0.00515	20000							
14	0.6537	0.2137	0.05615	0.00925	0.0244	0.0062	0.0062	20000							
15	0.6334	0.22025	0.05965	0.01045	0.0271	0.0062	0.0068	20000							
16	0.6036	0.2282	0.06405	0.01275	0.02985	0.00735	0.00895	20000							
17	0.5773	0.2341	0.06675	0.01455	0.03315	0.0084	0.01015	20000							
18	0.55415	0.23735	0.06735	0.0156	0.03585	0.0106	0.01185	20000							
19	0.5262	0.2448	0.07145	0.01655	0.03625	0.01315	0.013	20000							
20	0.511	0.24275	0.07405	0.0172	0.0369	0.0143	0.01405	20000							
21	0.4876	0.24885	0.0746	0.01845	0.03965	0.015	0.01455	20000							
22	0.45785	0.2531	0.0772	0.0198	0.04035	0.0181	0.0174	20000							
23	0.4358	0.2511	0.0811	0.02075	0.04515	0.0169	0.0172	20000							
24	0.42375	0.24505	0.07745	0.0209	0.0471	0.0195	0.01905	20000							
25	0.407	0.2445	0.07795	0.0205	0.0467	0.019	0.02155	20000							
26	0.3857	0.2475	0.0777	0.024	0.0486	0.0219	0.0203	20000							
27	0.3729	0.2404	0.0785	0.02255	0.04785	0.0211	0.0232	20000							
28	0.3492	0.2408	0.08055	0.0229	0.04925	0.0241	0.023	20000							
29	0.3337	0.23885	0.07625	0.0231	0.05145	0.02385	0.0253	20000							
30	0.32045	0.23255	0.07905	0.02295	0.0511	0.02515	0.02635	20000							
31	0.30585	0.23745	0.07625	0.02345	0.051	0.02535	0.02795	20000							
32	0.29345	0.22895	0.077	0.022	0.05215	0.02775	0.02705	20000							
33	0.28365	0.2198	0.0749	0.0238	0.0525	0.02845	0.02845	20000							
34	0.26745	0.2231	0.07475	0.02305	0.0509	0.0263	0.02615	20000							
35	0.25935	0.21015	0.0734	0.02505	0.04935	0.0272	0.02835	20000							
36	0.2447	0.20745	0.07365	0.02395	0.0498	0.02945	0.02945	20000							
37	0.2367	0.20245	0.07185	0.0249	0.05315	0.02965	0.02885	20000							
38	0.2255612781	0.198359918	0.0691534577	0.0227011351	0.0505025251	0.0290014501	0.0301015051	19999							
39	0.2125106255	0.1930096505	0.0692534627	0.0248012401	0.0494524726	0.0292014601	0.0298014901	19999							
40	0.2053307996	0.1914287143	0.0681102165	0.021653248	0.0475571336	0.0315547332	0.0301545232	19997							
41	0.1948987247	0.1855963991	0.0668667167	0.0226056514	0.0494123531	0.0308577144	0.0272568142	19995							
42	0.1839551866	0.1833049915	0.0647194158	0.0245073522	0.0476642993	0.0295588677	0.0301590477	19994							
43	0.1828554271	0.1758995146	0.0617024471	0.02071761	0.0476404944	0.0285742881	0.0300255217	19983							
44	0.1725743467	0.1738259738	0.0610293381	0.0218283769	0.0444577951	0.0309402223	0.0299889857	19974							
45	0.1596234729	0.1687362307	0.0583316643	0.0217304226	0.0436110555	0.0317945123	0.0294912878	19972							
46	0.1524124455	0.1624830903	0.0585700686	0.0221453981	0.0432887419	0.0319154266	0.0277569016	19959							
47	0.1437521929	0.1565836299	0.0585434314	0.0217532956	0.0441080648	0.0298731893	0.0315773645	19951							
48	0.144979174	0.1529081146	0.0544989211	0.0180659407	0.0423545943	0.0298088021	0.030059718	19927							
49	0.1303670186	0.1503770739	0.0561588738	0.0197586727	0.0411764706	0.0298642534	0.030015083	19890							
50	0.1279468064	0.1473403184	0.0525891598	0.0194438847	0.0405500705	0.0286117268	0.0280072537	19852							
51	0.1247975709	0.1393218623	0.0515688259	0.0187753036	0.0383097166	0.0299089069	0.0313765182	19760							
52	0.1133529352	0.1391564433	0.0526209064	0.0185034979	0.035942411	0.0281354557	0.0288958735	19726							
53	0.1113647894	0.132166413	0.0467275495	0.0181633688	0.036732623	0.0274987316	0.0304414003	19710							
54	0.1039000765	0.1329594698	0.045934234	0.0164669895	0.036043844	0.027326026	0.0280397655	19615							
55	0.0980986639	0.1251798561	0.0434737924	0.0170606372	0.0347893114	0.0265159301	0.0274409044	19460							
56	0.0971505265	0.1199669626	0.041761305	0.0168284121	0.0343795168	0.029320669	0.0283914929	19372							
57	0.0903601915	0.1166458463	0.0424734541	0.0168124089	0.0352904435	0.0268582136	0.0263897564	19212							
58	0.0910432034	0.1126975764	0.0401475237	0.0150158061	0.0316122234	0.0284510011	0.0280295047	18980							
59	0.0865958683	0.1060918265	0.0392560892	0.0162202145	0.0313837375	0.0284250013	0.0250964231	18927							
60	0.0767996577	0.1068028666	0.039309017	0.0154027169	0.0306984704	0.0274360894	0.0269012729	18698							
61	0.0774883821	0.102723441	0.036690803	0.0143196801	0.0321517346	0.0282611045	0.0260456068	18506							
62	0.0714129244	0.1	0.0377875137	0.0152245345	0.0276560789	0.0254654984	0.0257940854	18260							
63	0.06955942	0.0969498305	0.0317239847	0.0126118118	0.0284460248	0.0251680649	0.0260014445	17999							
64	0.0665992244	0.0931265104	0.0340021357	0.0138256618	0.0287753611	0.0239982015	0.0232675771	17793							
65	0.0600797267	0.0888952164	0.0324031891	0.0134965831	0.0260820046	0.0244305239	0.025284738	17560							
66	0.0603343553	0.0846879158	0.0306588766	0.0126106323	0.023890785	0.0232544687	0.0230230809	17287							
67	0.056533773	0.0817973029	0.0299746776	0.0111889759	0.0270890996	0.0226723986	0.0239090748	16981							
68	0.052688495	0.0794833283	0.0293181135	0.0121958546	0.0264944428	0.0222288976	0.0225292881	16645							
69	0.0502487868	0.0775231894	0.0290558388	0.0115486209	0.0233429572	0.0219915228	0.0239572455	16279							
70	0.0510357815	0.0728813559	0.0281230383	0.0111111111	0.0225360954	0.0227244193	0.021217828	15930							
71	0.0443884474	0.0712024294	0.025909414	0.0109194288	0.0210635136	0.0220973057	0.0198358855	15477							
72	0.0509040881	0.0692479036	0.0242400419	0.0100235849	0.0220125786	0.0205712788	0.0217505241	15264							
73	0.0409087836	0.0665359389	0.024207181	0.0091960241	0.0204882007	0.0215024681	0.0222462641	14789							
74	0.0424006127	0.0637749774	0.0227668314	0.0095383973	0.0192856646	0.0204692613	0.0215832347	14363							
75	0.0412436999	0.0605522822	0.0228579541	0.0099382409	0.0175338965	0.0209412934	0.018101796	14087							
76	0.0355029586	0.059244649	0.021404047	0.0091314194	0.0157060413	0.0206735335	0.0199430199	13689							
77	0.0345994735	0.0555095901	0.0218127115	0.0085746521	0.0188792779	0.0200075216	0.0179014667	13295							
78	0.0323695789	0.0524827153	0.0185417976	0.0095065996	0.0183846637	0.0188560654	0.0197203017	12728							
79	0.0304361719	0.0498482186	0.0176545774	0.0076689567	0.0183735421	0.0178942323	0.0178143473	12518							
80	0.0321291826	0.0471949392	0.0179790245	0.0079906775	0.0166472449	0.0173131347	0.0166472449	12014							
81	0.0281314522	0.0480901583	0.0174638679	0.0079146593	0.0135065382	0.0180660702	0.0150550585	11624							
82	0.0272460155	0.0454990651	0.0182530496	0.0089929659	0.0144243611	0.0162941857	0.0161161072	11231							
83	0.025650489	0.0429968629	0.0153164791	0.0073814357	0.0138401919	0.0147628714	0.0178999815	10838							
84	0.0245878205	0.0433622415	0.0152482607	0.0054321929	0.0160106738	0.014676451	0.0148670542	10493							
85	0.0263805493	0.0432129147	0.016340191	0.0074810513	0.01289497	0.01289497	0.0159464514	10159							
86	0.0233422847	0.0397645115	0.0133236935	0.0059904978	0.0131171246	0.0140466846	0.0136335468	9682							
87	0.0216691697	0.033791032	0.0131945934	0.0052563828	0.0124436816	0.0149109633	0.0134091397	9322							
88	0.0205664194	0.0379860643	0.0146100247	0.0061811643	0.0120251742	0.0129242526	0.0133737919	8898							 
89	0.0182494479	0.0348715564	0.0111588981	0.0067418342	0.0118563292	0.01336743	0.01336743	8603							
90	0.019753382	0.0356758051	0.0138872261	0.0065844607	0.0111337244	0.0126900515	0.0150844008	8353							
91	0.0181200453	0.0328425821	0.0104441928	0.0056625142	0.0108216937	0.0130866994	0.013212533	7947							
92	0.0172232448	0.0294504339	0.0099921115	0.0055219564	0.0092032606	0.013936366	0.0128845648	7606							
93	0.017269293	0.0252293578	0.0113329736	0.0059363195	0.0090393956	0.0121424717	0.0124123044	7412							
94	0.0139800285	0.0269614836	0.012125535	0.0039942939	0.010128388	0.0105563481	0.0115549215	7010							
95	0.0135780364	0.0292450015	0.010892271	0.0056699493	0.0095493882	0.0104446434	0.010892271	6702							
96	0.0118657299	0.0268540203	0.0087431694	0.0053083528	0.0070257611	0.0103044496	0.012490242	6405							
97	0.0177408854	0.0249023438	0.0074869792	0.0040690104	0.0091145833	0.0102539063	0.0131835938	6144							
98	0.0129154469	0.0225589805	0.0089547098	0.0058550026	0.008438092	0.012226623	0.0101601515	5807							
99	0.0118985127	0.0244969379	0.0089238845	0.0041994751	0.0064741907	0.0120734908	0.0085739283	5715							
100	0.0094866071	0.0256696429	0.0087425595	0.0050223214	0.0072544643	0.0106026786	0.0094866071	5376							
